Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2012",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
US,Total,"235,248","215,081","153,157",65.1,0.3,71.2,0.3,"132,948",56.5,0.3,61.8,0.3,
,18 to 24,"29,878","27,535","14,766",49.4,0.8,53.6,0.8,"11,353",38.0,0.8,41.2,0.8,
,25 to 34,"41,146","35,473","23,435",57.0,0.7,66.1,0.7,"18,977",46.1,0.7,53.5,0.7,
,35 to 44,"39,624","34,265","24,461",61.7,0.7,71.4,0.7,"20,965",52.9,0.7,61.2,0.7,
,45 to 64,"82,087","76,639","57,795",70.4,0.4,75.4,0.4,"52,013",63.4,0.5,67.9,0.5,
,65+,"42,514","41,169","32,699",76.9,0.6,79.4,0.6,"29,641",69.7,0.6,72.0,0.6,
ALABAMA,Total,"3,594","3,479","2,556",71.1,2.2,73.5,2.2,"2,154",59.9,2.4,61.9,2.4,
,18 to 24,439,428,212,48.3,7.0,49.6,7.1,155,35.3,6.7,36.2,6.9,
,25 to 34,576,535,359,62.4,6.0,67.2,6.0,271,47.0,6.1,50.6,6.4,
,35 to 44,615,582,410,66.7,5.6,70.6,5.6,330,53.7,5.9,56.8,6.1,
,45 to 64,"1,297","1,275","1,051",81.0,3.2,82.4,3.1,939,72.4,3.7,73.7,3.6,
,65+,667,660,523,78.5,4.7,79.2,4.7,459,68.8,5.3,69.5,5.3,
ALASKA,Total,516,495,361,69.9,2.4,72.8,2.4,289,56.0,2.6,58.4,2.6,
,18 to 24,63,61,31,(B),(B),51.1,7.5,20,(B),(B),32.5,7.1,
,25 to 34,109,103,70,64.0,5.4,67.7,5.4,46,42.6,5.6,45.0,5.8,
,35 to 44,86,80,60,70.2,5.8,75.4,5.7,50,58.6,6.3,62.9,6.4,
,45 to 64,186,182,144,77.6,3.6,79.3,3.6,122,65.7,4.1,67.1,4.1,
,65+,72,69,55,(B),(B),80.0,5.7,51,(B),(B),73.2,6.3,
ARIZONA,Total,"4,863","4,314","2,812",57.8,2.1,65.2,2.2,"2,412",49.6,2.2,55.9,2.3,
,18 to 24,586,545,301,51.4,6.2,55.3,6.4,234,40.0,6.1,43.0,6.4,
,25 to 34,859,709,399,46.5,5.1,56.3,5.6,289,33.7,4.8,40.8,5.5,
,35 to 44,870,713,437,50.2,5.1,61.3,5.5,382,43.9,5.0,53.6,5.6,
,45 to 64,"1,656","1,502","1,015",61.3,3.6,67.6,3.6,901,54.4,3.7,60.0,3.8,
,65+,892,846,659,73.9,4.4,78.0,4.3,606,67.9,4.7,71.7,4.7,
ARKANSAS,Total,"2,198","2,109","1,376",62.6,2.4,65.3,2.4,"1,124",51.1,2.5,53.3,2.6,
,18 to 24,288,281,126,43.8,6.9,44.8,7.0,70,24.3,6.0,24.8,6.1,
,25 to 34,362,336,194,53.7,6.2,57.8,6.4,140,38.6,6.0,41.6,6.3,
,35 to 44,357,341,234,65.6,5.9,68.7,5.9,205,57.5,6.2,60.3,6.2,
,45 to 64,742,704,498,67.1,4.1,70.8,4.0,442,59.6,4.2,62.8,4.3,
,65+,449,448,324,72.1,5.0,72.3,5.0,267,59.4,5.5,59.6,5.5,
CALIFORNIA,Total,"28,357","23,419","15,356",54.2,0.9,65.6,0.9,"13,462",47.5,0.9,57.5,1.0,
,18 to 24,"3,962","3,479","1,787",45.1,2.4,51.4,2.6,"1,447",36.5,2.3,41.6,2.5,
,25 to 34,"5,357","4,153","2,548",47.6,2.1,61.3,2.3,"2,070",38.6,2.0,49.8,2.3,
,35 to 44,"5,030","3,675","2,478",49.3,2.1,67.4,2.3,"2,118",42.1,2.1,57.6,2.5,
,45 to 64,"9,356","7,827","5,459",58.3,1.5,69.7,1.6,"4,926",52.6,1.6,62.9,1.6,
,65+,"4,653","4,284","3,084",66.3,2.1,72.0,2.1,"2,902",62.4,2.1,67.7,2.2,
COLORADO,Total,"3,817","3,544","2,635",69.0,2.3,74.4,2.2,"2,495",65.4,2.3,70.4,2.3,
