Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2012",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,18 to 24,493,461,278,56.5,6.7,60.3,6.9,259,52.5,6.8,56.1,7.0,
,25 to 34,693,602,411,59.2,5.6,68.2,5.7,363,52.4,5.7,60.3,6.0,
,35 to 44,684,616,484,70.9,5.2,78.6,5.0,452,66.2,5.5,73.4,5.4,
,45 to 64,"1,354","1,287","1,025",75.7,3.5,79.7,3.4,989,73.0,3.6,76.9,3.5,
,65+,593,577,437,73.6,5.5,75.7,5.4,432,72.8,5.5,74.8,5.4,
CONNECTICUT,Total,"2,726","2,499","1,760",64.6,2.5,70.4,2.5,"1,568",57.5,2.5,62.7,2.6,
,18 to 24,333,308,145,43.6,7.3,47.1,7.6,123,36.9,7.1,39.8,7.5,
,25 to 34,402,331,210,52.1,6.7,63.4,7.1,177,44.0,6.7,53.5,7.4,
,35 to 44,441,382,255,57.8,6.3,66.8,6.5,223,50.5,6.4,58.3,6.8,
,45 to 64,"1,047",993,768,73.3,3.7,77.4,3.6,695,66.3,3.9,70.0,3.9,
,65+,503,486,383,76.2,5.1,78.9,5.0,351,69.7,5.5,72.2,5.5,
DELAWARE,Total,693,641,470,67.8,2.4,73.3,2.4,431,62.2,2.5,67.3,2.5,
,18 to 24,82,77,38,46.1,7.4,49.4,7.7,33,40.5,7.3,43.4,7.7,
,25 to 34,106,86,54,51.1,6.6,63.3,7.0,49,46.3,6.5,57.4,7.2,
,35 to 44,119,102,77,64.6,5.9,75.8,5.7,67,56.6,6.1,66.4,6.3,
,45 to 64,240,232,182,75.9,3.7,78.6,3.6,168,69.9,4.0,72.3,4.0,
,65+,146,145,118,81.3,4.4,81.6,4.3,113,77.9,4.6,78.1,4.6,
DISTRICT OF COLUMBIA,Total,517,461,385,74.4,2.3,83.4,2.1,350,67.7,2.5,75.9,2.4,
,18 to 24,71,61,43,(B),(B),70.3,7.1,38,(B),(B),61.4,7.5,
,25 to 34,154,133,114,74.0,4.3,85.3,3.7,102,66.0,4.6,76.2,4.5,
,35 to 44,79,67,59,74.5,5.9,88.1,4.8,55,69.4,6.3,81.9,5.7,
,45 to 64,140,129,109,77.7,4.3,84.4,3.9,99,70.9,4.6,77.0,4.5,
,65+,73,71,60,(B),(B),84.7,5.2,57,(B),(B),80.2,5.7,
FLORIDA,Total,"15,034","13,326","9,102",60.5,1.2,68.3,1.2,"8,107",53.9,1.2,60.8,1.3,
,18 to 24,"1,669","1,467",751,45.0,3.6,51.2,3.9,614,36.8,3.5,41.9,3.8,
,25 to 34,"2,259","1,903","1,158",51.3,3.1,60.9,3.3,987,43.7,3.1,51.9,3.4,
,35 to 44,"2,456","1,960","1,335",54.3,3.0,68.1,3.1,"1,177",47.9,3.0,60.1,3.3,
,45 to 64,"5,345","4,814","3,474",65.0,1.9,72.2,1.9,"3,107",58.1,2.0,64.5,2.0,
,65+,"3,304","3,182","2,384",72.2,2.3,74.9,2.3,"2,222",67.2,2.4,69.8,2.4,
GEORGIA,Total,"7,179","6,738","4,767",66.4,1.7,70.7,1.7,"4,168",58.1,1.7,61.9,1.8,
,18 to 24,920,867,469,51.0,4.9,54.1,5.0,349,37.9,4.8,40.2,5.0,
,25 to 34,"1,308","1,148",847,64.8,3.9,73.8,3.9,700,53.5,4.1,61.0,4.3,
,35 to 44,"1,341","1,228",825,61.5,4.0,67.2,4.0,726,54.1,4.1,59.1,4.2,
,45 to 64,"2,658","2,547","1,886",70.9,2.6,74.0,2.6,"1,741",65.5,2.7,68.4,2.7,
,65+,951,948,739,77.7,4.0,78.0,4.0,652,68.5,4.5,68.7,4.5,
HAWAII,Total,"1,013",930,547,54.1,2.4,58.9,2.5,480,47.4,2.4,51.6,2.6,
,18 to 24,107,91,33,30.6,6.9,36.0,7.8,24,22.1,6.3,26.0,7.2,
,25 to 34,172,154,65,37.8,5.8,42.3,6.2,55,31.7,5.5,35.5,6.0,
,35 to 44,166,153,83,50.2,6.1,54.4,6.3,69,41.7,6.0,45.2,6.3,
,45 to 64,343,317,217,63.2,4.1,68.4,4.1,196,57.0,4.2,61.8,4.3,
,65+,224,215,149,66.6,4.9,69.6,4.9,137,61.0,5.1,63.7,5.1,
IDAHO,Total,"1,129","1,064",745,65.9,2.4,70.0,2.3,679,60.2,2.4,63.9,2.5,
,18 to 24,130,121,51,39.0,7.1,41.8,7.5,39,29.8,6.7,31.9,7.1,
,25 to 34,194,173,114,59.0,5.9,66.2,6.0,99,51.0,6.0,57.3,6.3,
,35 to 44,203,187,141,69.6,5.4,75.7,5.2,132,64.8,5.6,70.6,5.6,
,45 to 64,401,382,274,68.3,3.9,71.7,3.8,250,62.3,4.0,65.4,4.1,
,65+,201,201,164,81.6,4.6,81.6,4.6,160,79.5,4.7,79.5,4.7,
ILLINOIS,Total,"9,651","8,831","6,425",66.6,1.4,72.7,1.4,"5,428",56.2,1.5,61.5,1.6,
,18 to 24,"1,228","1,122",608,49.5,4.3,54.2,4.5,396,32.2,4.0,35.3,4.3,
,25 to 34,"1,707","1,480","1,020",59.7,3.6,68.9,3.6,846,49.6,3.6,57.2,3.9,
,35 to 44,"1,688","1,481","1,066",63.2,3.5,72.0,3.5,872,51.7,3.6,58.9,3.8,
,45 to 64,"3,407","3,182","2,471",72.5,2.3,77.7,2.2,"2,206",64.7,2.5,69.3,2.5,
,65+,"1,620","1,566","1,259",77.7,3.1,80.4,3.0,"1,108",68.4,3.5,70.7,3.4,
INDIANA,Total,"4,852","4,724","3,270",67.4,2.0,69.2,2.0,"2,801",57.7,2.1,59.3,2.1,
,18 to 24,570,558,269,47.2,6.2,48.2,6.3,203,35.7,6.0,36.4,6.1,
,25 to 34,861,800,462,53.7,5.1,57.7,5.2,356,41.4,5.0,44.5,5.2,
,35 to 44,828,801,550,66.4,4.9,68.6,4.9,420,50.7,5.2,52.4,5.3,
,45 to 64,"1,754","1,733","1,329",75.8,3.0,76.7,3.0,"1,212",69.1,3.3,70.0,3.3,
,65+,840,832,660,78.6,4.2,79.4,4.2,610,72.6,4.6,73.3,4.6,
IOWA,Total,"2,320","2,232","1,745",75.2,2.3,78.2,2.2,"1,548",66.7,2.5,69.4,2.5,
,18 to 24,260,243,150,57.7,7.7,61.8,7.8,121,46.6,7.8,49.9,8.1,
,25 to 34,402,379,276,68.7,5.8,72.9,5.7,238,59.2,6.2,62.8,6.2,
,35 to 44,385,358,275,71.3,5.8,76.8,5.6,238,61.8,6.2,66.5,6.3,
,45 to 64,828,812,652,78.7,3.6,80.3,3.5,586,70.8,4.0,72.2,3.9,
,65+,444,440,392,88.1,3.9,88.9,3.8,365,82.1,4.6,82.8,4.5,
KANSAS,Total,"2,120","1,973","1,467",69.2,2.4,74.4,2.4,"1,249",58.9,2.6,63.3,2.6,
,18 to 24,294,262,127,43.2,7.0,48.4,7.5,88,30.1,6.5,33.7,7.1,
,25 to 34,406,359,236,58.1,5.9,65.8,6.1,172,42.3,5.9,47.9,6.4,
,35 to 44,300,269,203,67.7,6.5,75.5,6.3,169,56.4,6.9,63.0,7.1,
,45 to 64,757,721,583,77.0,3.7,80.9,3.5,535,70.7,4.0,74.2,3.9,
,65+,363,363,318,87.6,4.2,87.6,4.2,285,78.3,5.2,78.3,5.2,
KENTUCKY,Total,"3,291","3,194","2,303",70.0,2.4,72.1,2.4,"1,895",57.6,2.6,59.3,2.6,
,18 to 24,446,437,225,50.5,7.0,51.6,7.1,165,37.1,6.8,37.9,6.9,
,25 to 34,513,462,320,62.4,6.3,69.3,6.4,235,45.9,6.5,51.0,6.9,
,35 to 44,547,534,411,75.1,5.5,76.9,5.4,330,60.3,6.2,61.7,6.2,
,45 to 64,"1,173","1,152",879,74.9,3.8,76.3,3.7,757,64.6,4.1,65.7,4.2,
,65+,613,608,468,76.4,5.1,77.0,5.1,408,66.6,5.7,67.1,5.7,
LOUISIANA,Total,"3,321","3,239","2,498",75.2,2.2,77.1,2.2,"2,148",64.7,2.4,66.3,2.4,
,18 to 24,431,415,226,52.5,7.1,54.6,7.2,174,40.4,7.0,42.0,7.1,
,25 to 34,579,552,422,72.8,5.5,76.4,5.3,369,63.7,5.9,66.9,5.9,
,35 to 44,543,526,399,73.5,5.6,75.8,5.5,340,62.6,6.1,64.6,6.1,
,45 to 64,"1,199","1,184",968,80.7,3.4,81.7,3.3,846,70.5,3.9,71.4,3.9,
,65+,568,562,483,84.9,4.4,85.9,4.3,420,73.8,5.4,74.7,5.4,
MAINE,Total,"1,042","1,020",787,75.5,2.4,77.1,2.4,700,67.2,2.7,68.6,2.7,
,18 to 24,118,118,61,51.7,8.4,51.7,8.4,50,42.8,8.3,42.8,8.3,
,25 to 34,134,131,93,69.0,7.3,70.6,7.3,78,58.1,7.8,59.5,7.8,
,35 to 44,157,149,117,74.5,6.3,78.6,6.1,101,64.2,7.0,67.8,7.0,
,45 to 64,413,407,329,79.7,3.6,80.9,3.6,300,72.7,4.0,73.7,4.0,
,65+,219,215,187,85.2,4.4,86.9,4.2,170,77.7,5.1,79.2,5.1,
MARYLAND,Total,"4,449","4,007","2,888",64.9,2.2,72.1,2.2,"2,609",58.7,2.2,65.1,2.3,
,18 to 24,585,558,301,51.5,6.3,54.0,6.4,246,42.1,6.2,44.1,6.4,
,25 to 34,777,621,439,56.5,5.4,70.6,5.6,393,50.6,5.5,63.3,5.9,
,35 to 44,721,590,434,60.2,5.5,73.5,5.5,396,54.9,5.6,67.1,5.9,
,45 to 64,"1,557","1,450","1,107",71.1,3.5,76.3,3.4,"1,025",65.8,3.7,70.7,3.6,
,65+,809,787,607,75.0,4.6,77.1,4.6,550,67.9,5.0,69.8,5.0,
MASSACHUSETTS,Total,"5,170","4,774","3,759",72.7,1.8,78.7,1.8,"3,382",65.4,2.0,70.8,2.0,
,18 to 24,694,633,395,56.9,5.6,62.4,5.7,316,45.6,5.6,49.9,5.9,
,25 to 34,810,705,526,65.0,5.0,74.6,4.9,450,55.6,5.2,63.8,5.4,
,35 to 44,888,783,580,65.4,4.8,74.1,4.7,530,59.7,4.9,67.6,5.0,
,45 to 64,"1,784","1,677","1,424",79.8,2.8,84.9,2.6,"1,327",74.4,3.1,79.2,3.0,
,65+,994,975,833,83.8,3.5,85.4,3.4,759,76.3,4.0,77.8,4.0,
MICHIGAN,Total,"7,496","7,228","5,620",75.0,1.5,77.8,1.5,"4,832",64.5,1.7,66.8,1.7,
,18 to 24,905,894,536,59.2,4.9,59.9,4.9,394,43.5,4.9,44.0,5.0,
,25 to 34,"1,182","1,107",830,70.2,4.0,75.0,3.9,629,53.2,4.4,56.9,4.5,
,35 to 44,"1,221","1,136",900,73.7,3.8,79.2,3.6,768,62.9,4.2,67.6,4.2,
,45 to 64,"2,676","2,611","2,141",80.0,2.3,82.0,2.3,"1,906",71.2,2.6,73.0,2.6,
,65+,"1,512","1,480","1,214",80.3,3.1,82.1,3.0,"1,134",75.0,3.3,76.7,3.3,
MINNESOTA,Total,"4,055","3,903","3,085",76.1,2.0,79.0,1.9,"2,859",70.5,2.1,73.2,2.1,
,18 to 24,531,510,329,61.8,6.3,64.5,6.3,303,57.0,6.4,59.4,6.5,
,25 to 34,650,596,435,66.8,5.5,72.9,5.4,384,59.0,5.7,64.4,5.8,
,35 to 44,701,659,518,73.9,4.9,78.6,4.7,478,68.2,5.2,72.6,5.2,
,45 to 64,"1,410","1,387","1,151",81.6,3.1,83.0,3.0,"1,081",76.6,3.4,77.9,3.3,
,65+,762,751,652,85.6,3.8,86.8,3.7,613,80.5,4.3,81.6,4.2,
MISSISSIPPI,Total,"2,166","2,130","1,794",82.8,2.0,84.2,1.9,"1,588",73.3,2.3,74.5,2.3,
,18 to 24,300,294,222,73.9,6.1,75.5,6.1,187,62.4,6.8,63.8,6.8,
,25 to 34,397,390,333,83.8,4.5,85.2,4.3,279,70.2,5.5,71.3,5.5,
,35 to 44,320,309,255,79.6,5.4,82.3,5.2,222,69.4,6.2,71.8,6.2,
,45 to 64,734,727,614,83.7,3.3,84.5,3.2,563,76.7,3.8,77.4,3.7,
,65+,416,410,371,89.2,3.7,90.6,3.5,337,80.9,4.7,82.2,4.6,
MISSOURI,Total,"4,521","4,409","3,384",74.8,1.9,76.7,1.9,"2,818",62.3,2.2,63.9,2.2,
,18 to 24,525,520,332,63.3,6.4,64.0,6.4,223,42.5,6.5,42.9,6.6,
,25 to 34,857,809,585,68.2,4.8,72.3,4.8,448,52.3,5.2,55.4,5.3,
,35 to 44,669,651,498,74.5,5.1,76.6,5.0,427,63.8,5.6,65.6,5.6,
,45 to 64,"1,714","1,684","1,344",78.4,3.0,79.8,3.0,"1,175",68.5,3.4,69.8,3.4,
,65+,755,745,624,82.7,4.2,83.7,4.1,545,72.2,4.9,73.1,4.9,
MONTANA,Total,768,754,553,72.0,2.3,73.3,2.3,495,64.5,2.4,65.7,2.4,
,18 to 24,82,79,53,65.0,7.5,66.9,7.5,33,40.7,7.7,41.9,7.8,
,25 to 34,138,137,77,55.9,6.0,56.2,6.0,65,47.4,6.0,47.7,6.0,
,35 to 44,109,105,69,63.3,6.5,65.7,6.5,62,57.1,6.7,59.2,6.8,
,45 to 64,254,249,201,79.1,3.6,80.5,3.5,189,74.3,3.9,75.6,3.8,
,65+,186,184,153,82.3,4.0,83.2,3.9,146,78.6,4.2,79.4,4.2,
NEBRASKA,Total,"1,371","1,296",901,65.7,2.5,69.5,2.5,798,58.2,2.6,61.6,2.6,
,18 to 24,168,151,71,42.2,7.4,47.0,7.9,61,36.2,7.2,40.3,7.8,
,25 to 34,242,224,137,56.5,6.2,61.0,6.3,110,45.4,6.2,49.0,6.5,
,35 to 44,235,218,145,61.8,6.2,66.6,6.2,128,54.4,6.3,58.7,6.5,
,45 to 64,462,445,331,71.7,4.1,74.5,4.0,300,64.9,4.3,67.4,4.3,
,65+,264,259,217,82.2,4.6,83.8,4.4,200,75.7,5.1,77.2,5.1,
NEVADA,Total,"2,039","1,808","1,176",57.7,2.5,65.0,2.6,"1,048",51.4,2.5,57.9,2.6,
,18 to 24,320,295,145,45.4,6.3,49.1,6.6,122,38.2,6.2,41.4,6.5,
,25 to 34,364,310,189,52.0,6.0,61.2,6.3,158,43.4,5.9,51.0,6.5,
,35 to 44,307,247,158,51.6,6.5,64.1,6.9,146,47.5,6.5,58.9,7.1,
,45 to 64,680,606,413,60.7,4.3,68.1,4.3,376,55.2,4.3,61.9,4.5,
,65+,369,350,270,73.4,5.2,77.3,5.1,246,66.8,5.6,70.4,5.6,
NEW HAMPSHIRE,Total,"1,028",991,752,73.1,2.4,75.9,2.3,688,66.9,2.5,69.4,2.5,
,18 to 24,123,119,71,57.5,7.6,59.6,7.7,61,50.0,7.7,51.9,7.8,
,25 to 34,160,147,99,62.0,6.6,67.4,6.6,91,56.7,6.7,61.7,6.9,
,35 to 44,150,143,100,66.7,6.6,69.8,6.6,90,60.0,6.8,62.8,6.9,
,45 to 64,425,414,337,79.4,3.4,81.5,3.3,312,73.4,3.7,75.4,3.6,
,65+,171,169,145,84.8,4.7,85.8,4.6,134,78.6,5.4,79.6,5.3,
NEW JERSEY,Total,"6,730","5,929","4,326",64.3,1.8,73.0,1.7,"3,670",54.5,1.8,61.9,1.9,
,18 to 24,792,707,379,47.8,5.3,53.6,5.6,276,34.9,5.1,39.1,5.5,
,25 to 34,"1,068",842,556,52.1,4.6,66.0,4.9,475,44.5,4.6,56.4,5.1,
,35 to 44,"1,186",939,655,55.2,4.3,69.8,4.5,536,45.2,4.3,57.1,4.9,
,45 to 64,"2,424","2,217","1,732",71.4,2.8,78.1,2.6,"1,545",63.7,2.9,69.7,2.9,
,65+,"1,259","1,224","1,004",79.8,3.4,82.0,3.3,838,66.5,4.0,68.4,4.0,
NEW MEXICO,Total,"1,553","1,426",978,63.0,2.5,68.6,2.5,878,56.5,2.5,61.6,2.6,
,18 to 24,177,163,84,47.4,7.6,51.3,7.9,66,37.1,7.3,40.2,7.7,
,25 to 34,286,248,157,54.8,5.9,63.1,6.2,130,45.6,5.9,52.5,6.4,
,35 to 44,257,224,139,54.1,6.3,62.2,6.5,123,47.8,6.3,54.9,6.7,
,45 to 64,588,551,414,70.4,3.8,75.1,3.7,390,66.3,3.9,70.8,3.9,
,65+,246,240,185,75.2,5.5,77.2,5.5,169,68.8,5.9,70.6,5.9,
NEW YORK,Total,"15,066","13,082","8,887",59.0,1.2,67.9,1.2,"7,675",50.9,1.2,58.7,1.3,
,18 to 24,"2,028","1,790",926,45.7,3.4,51.8,3.6,710,35.0,3.2,39.6,3.5,
,25 to 34,"2,775","2,171","1,387",50.0,2.9,63.9,3.1,"1,145",41.3,2.8,52.7,3.3,
,35 to 44,"2,334","1,871","1,288",55.2,3.1,68.8,3.3,"1,133",48.5,3.2,60.5,3.4,
,45 to 64,"5,217","4,706","3,381",64.8,2.0,71.8,2.0,"3,046",58.4,2.1,64.7,2.1,
,65+,"2,712","2,543","1,904",70.2,2.7,74.9,2.6,"1,642",60.5,2.9,64.6,2.9,
NORTH CAROLINA,Total,"7,265","6,712","5,295",72.9,1.6,78.9,1.5,"4,624",63.7,1.7,68.9,1.7,
,18 to 24,863,779,496,57.5,5.0,63.7,5.2,389,45.1,5.1,50.0,5.4,
,25 to 34,"1,220","1,021",816,66.9,4.0,79.9,3.8,676,55.4,4.3,66.2,4.4,
,35 to 44,"1,320","1,172",919,69.6,3.8,78.4,3.6,792,60.0,4.0,67.6,4.1,
,45 to 64,"2,470","2,373","1,925",77.9,2.5,81.1,2.4,"1,710",69.2,2.8,72.1,2.8,
,65+,"1,390","1,366","1,138",81.9,3.1,83.3,3.0,"1,057",76.0,3.4,77.3,3.4,
NORTH DAKOTA,Total,528,514,383,72.5,2.3,74.5,2.3,328,62.2,2.5,63.9,2.5,
,18 to 24,67,66,43,(B),(B),65.1,6.9,32,(B),(B),48.9,7.2,
,25 to 34,111,106,74,66.4,5.3,69.8,5.2,62,55.7,5.5,58.6,5.6,
,35 to 44,71,69,55,(B),(B),79.5,5.7,44,(B),(B),64.0,6.8,
,45 to 64,194,190,148,76.3,3.6,77.8,3.5,129,66.9,4.0,68.2,4.0,
,65+,85,84,64,75.7,5.5,76.2,5.5,61,71.9,5.7,72.3,5.7,
OHIO,Total,"8,750","8,550","6,076",69.4,1.5,71.1,1.5,"5,395",61.7,1.6,63.1,1.6,
,18 to 24,"1,145","1,105",629,55.0,4.4,57.0,4.5,511,44.7,4.4,46.3,4.5,
,25 to 34,"1,413","1,352",917,64.9,3.8,67.8,3.8,772,54.6,4.0,57.1,4.0,
,35 to 44,"1,340","1,274",903,67.4,3.8,70.9,3.8,772,57.6,4.1,60.6,4.1,
,45 to 64,"3,213","3,179","2,325",72.4,2.4,73.1,2.4,"2,159",67.2,2.5,67.9,2.5,
,65+,"1,640","1,640","1,302",79.4,3.0,79.4,3.0,"1,181",72.0,3.3,72.0,3.3,
OKLAHOMA,Total,"2,808","2,733","1,806",64.3,2.5,66.1,2.5,"1,431",51.0,2.6,52.4,2.6,
,18 to 24,325,323,130,40.1,7.5,40.3,7.5,88,27.2,6.8,27.3,6.8,
,25 to 34,567,540,296,52.3,5.7,54.9,5.9,184,32.4,5.4,34.1,5.6,
,35 to 44,433,418,281,64.8,6.3,67.1,6.3,212,49.0,6.6,50.8,6.7,
,45 to 64,"1,001",980,720,72.0,3.9,73.5,3.9,602,60.1,4.2,61.4,4.3,
,65+,483,473,378,78.4,5.1,80.0,5.0,345,71.5,5.6,73.0,5.6,
OREGON,Total,"2,998","2,806","2,086",69.6,2.4,74.3,2.3,"1,897",63.3,2.5,67.6,2.5,
,18 to 24,391,364,216,55.3,7.1,59.4,7.3,186,47.6,7.1,51.1,7.4,
,25 to 34,461,399,256,55.5,6.5,64.1,6.8,215,46.7,6.6,53.9,7.1,
,35 to 44,527,479,345,65.5,5.9,72.0,5.8,296,56.2,6.1,61.8,6.3,
,45 to 64,"1,004",961,756,75.3,3.8,78.7,3.7,709,70.6,4.1,73.7,4.0,
,65+,616,604,513,83.3,4.2,84.9,4.1,491,79.7,4.6,81.3,4.5,
PENNSYLVANIA,Total,"9,847","9,452","6,795",69.0,1.4,71.9,1.4,"5,824",59.1,1.5,61.6,1.5,
,18 to 24,"1,198","1,137",645,53.8,4.3,56.7,4.4,478,39.9,4.2,42.1,4.4,
,25 to 34,"1,543","1,442",984,63.8,3.7,68.2,3.7,790,51.2,3.8,54.8,3.9,
,35 to 44,"1,520","1,442","1,054",69.4,3.5,73.1,3.5,928,61.0,3.8,64.4,3.8,
,45 to 64,"3,674","3,547","2,648",72.1,2.2,74.6,2.2,"2,331",63.4,2.4,65.7,2.4,
,65+,"1,913","1,883","1,463",76.5,2.9,77.7,2.9,"1,297",67.8,3.2,68.9,3.2,
RHODE ISLAND,Total,817,751,552,67.5,2.5,73.5,2.5,469,57.4,2.7,62.5,2.7,
,18 to 24,99,89,61,61.8,7.5,68.9,7.6,45,45.2,7.7,50.3,8.2,
,25 to 34,121,108,70,57.8,6.9,64.8,7.1,58,47.6,7.0,53.3,7.4,
,35 to 44,150,127,89,59.5,6.2,69.9,6.3,76,50.9,6.3,59.9,6.7,
,45 to 64,290,272,213,73.4,4.0,78.3,3.9,185,64.0,4.3,68.3,4.3,
,65+,158,155,119,75.5,5.3,76.6,5.2,105,66.7,5.8,67.7,5.8,
SOUTH CAROLINA,Total,"3,516","3,380","2,479",70.5,2.3,73.3,2.3,"2,187",62.2,2.4,64.7,2.4,
,18 to 24,474,451,265,55.9,6.8,58.8,6.9,243,51.3,6.8,54.0,7.0,
,25 to 34,510,476,364,71.3,5.9,76.4,5.8,293,57.5,6.5,61.6,6.6,
,35 to 44,601,561,405,67.3,5.7,72.2,5.6,343,57.0,6.0,61.1,6.1,
,45 to 64,"1,319","1,289",956,72.4,3.7,74.2,3.6,866,65.7,3.9,67.2,3.9,
,65+,612,604,489,80.0,4.8,81.0,4.7,442,72.3,5.4,73.2,5.4,
SOUTH DAKOTA,Total,616,607,454,73.7,2.1,74.8,2.1,370,60.1,2.4,61.0,2.4,
,18 to 24,95,94,52,54.4,6.1,54.7,6.1,31,32.7,5.8,32.9,5.8,
,25 to 34,103,101,65,63.2,5.7,64.5,5.7,46,44.6,5.9,45.6,5.9,
,35 to 44,82,79,64,78.3,5.4,81.2,5.3,53,63.9,6.3,66.3,6.4,
,45 to 64,204,202,167,82.0,3.2,82.7,3.2,145,70.9,3.8,71.5,3.8,
,65+,132,130,106,80.4,4.1,81.2,4.1,96,72.9,4.6,73.7,4.6,
TENNESSEE,Total,"4,849","4,678","3,210",66.2,2.0,68.6,2.0,"2,606",53.7,2.1,55.7,2.2,
,18 to 24,610,590,306,50.2,6.0,51.9,6.1,207,34.0,5.7,35.2,5.9,
,25 to 34,833,773,517,62.0,5.0,66.8,5.1,395,47.4,5.2,51.0,5.4,
,35 to 44,783,739,514,65.7,5.1,69.5,5.1,402,51.3,5.3,54.3,5.5,
,45 to 64,"1,607","1,563","1,081",67.2,3.5,69.1,3.5,904,56.3,3.7,57.9,3.7,
,65+,"1,016","1,013",793,78.1,3.9,78.3,3.9,698,68.7,4.3,68.9,4.3,
