Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,25 to 34,617,590,386,62.5,5.8,65.4,5.8,156,25.2,5.2,26.4,5.4,
,35 to 44,574,543,379,66.1,5.9,69.8,5.9,204,35.6,5.9,37.6,6.2,
,45 to 64,"1,294","1,267",949,73.3,3.7,74.9,3.6,688,53.2,4.1,54.3,4.2,
,65+,720,712,535,74.3,4.8,75.1,4.8,376,52.2,5.5,52.8,5.6,
SOUTH DAKOTA,Total,625,618,401,64.2,2.6,64.9,2.6,273,43.7,2.7,44.1,2.7,
,18 to 24,69,67,24,(B),(B),(B),(B),8,(B),(B),(B),(B),
,25 to 34,125,122,67,53.7,6.0,55.3,6.1,32,25.2,5.2,26.0,5.3,
,35 to 44,86,85,62,71.7,6.5,72.6,6.5,42,48.1,7.2,48.7,7.3,
,45 to 64,233,233,161,68.8,4.1,68.9,4.1,124,52.9,4.4,53.0,4.4,
,65+,111,111,87,78.8,5.2,78.8,5.2,68,61.4,6.2,61.4,6.2,
TENNESSEE,Total,"4,975","4,815","3,088",62.1,2.1,64.1,2.1,"1,763",35.4,2.0,36.6,2.1,
,18 to 24,661,652,272,41.1,5.7,41.7,5.8,78,11.8,3.8,11.9,3.8,
,25 to 34,803,741,387,48.2,5.3,52.2,5.5,137,17.1,4.0,18.5,4.3,
,35 to 44,817,772,515,63.1,5.1,66.7,5.1,300,36.7,5.1,38.8,5.3,
,45 to 64,"1,750","1,714","1,184",67.7,3.4,69.1,3.3,747,42.7,3.5,43.6,3.6,
,65+,945,935,730,77.3,4.1,78.1,4.1,502,53.1,4.9,53.7,4.9,
TEXAS,Total,"19,354","16,844","9,946",51.4,1.1,59.1,1.2,"5,836",30.2,1.0,34.6,1.1,
,18 to 24,"2,611","2,371",864,33.1,2.8,36.4,3.0,287,11.0,1.9,12.1,2.0,
,25 to 34,"3,815","3,137","1,551",40.6,2.4,49.4,2.7,687,18.0,1.9,21.9,2.2,
,35 to 44,"3,558","2,816","1,646",46.3,2.5,58.4,2.8,835,23.5,2.2,29.7,2.6,
,45 to 64,"6,416","5,681","3,801",59.2,1.9,66.9,1.9,"2,478",38.6,1.8,43.6,2.0,
,65+,"2,954","2,839","2,085",70.6,2.5,73.4,2.5,"1,548",52.4,2.8,54.5,2.8,
UTAH,Total,"2,026","1,924","1,101",54.3,2.2,57.2,2.3,703,34.7,2.1,36.5,2.2,
,18 to 24,259,250,74,28.7,5.6,29.8,5.8,35,13.4,4.3,13.9,4.4,
,25 to 34,457,428,195,42.7,4.6,45.6,4.8,99,21.8,3.9,23.3,4.1,
,35 to 44,436,410,242,55.6,4.8,59.2,4.9,121,27.7,4.3,29.5,4.5,
,45 to 64,589,558,374,63.5,4.0,67.0,4.0,258,43.9,4.1,46.3,4.2,
,65+,286,279,215,75.3,5.1,77.3,5.0,189,66.1,5.6,67.9,5.6,
VERMONT,Total,493,482,324,65.7,2.7,67.2,2.7,205,41.6,2.8,42.5,2.8,
,18 to 24,55,55,19,(B),(B),(B),(B),6,(B),(B),(B),(B),
,25 to 34,74,72,30,(B),(B),(B),(B),12,(B),(B),(B),(B),
,35 to 44,74,72,49,(B),(B),(B),(B),28,(B),(B),(B),(B),
,45 to 64,184,179,140,75.7,4.0,78.1,3.9,93,50.7,4.6,52.3,4.7,
,65+,106,105,86,81.0,4.8,82.0,4.7,65,61.5,5.9,62.2,6.0,
VIRGINIA,Total,"6,221","5,888","3,924",63.1,1.9,66.6,1.9,"2,453",39.4,1.9,41.7,2.0,
,18 to 24,728,681,315,43.2,5.6,46.2,5.9,112,15.4,4.1,16.5,4.4,
,25 to 34,"1,075",973,606,56.3,4.6,62.3,4.8,258,24.0,4.0,26.6,4.3,
,35 to 44,"1,094",989,697,63.8,4.5,70.5,4.4,403,36.9,4.5,40.8,4.8,
,45 to 64,"2,160","2,086","1,449",67.1,3.1,69.4,3.1,"1,017",47.1,3.3,48.7,3.4,
,65+,"1,165","1,159",858,73.7,4.0,74.0,3.9,662,56.8,4.4,57.1,4.5,
WASHINGTON,Total,"5,333","4,776","3,281",61.5,2.0,68.7,2.0,"2,390",44.8,2.1,50.0,2.2,
,18 to 24,592,522,237,40.0,6.1,45.4,6.6,127,21.4,5.1,24.3,5.7,
,25 to 34,"1,008",840,458,45.4,4.8,54.5,5.2,247,24.5,4.1,29.4,4.8,
,35 to 44,908,773,565,62.3,4.9,73.2,4.8,345,38.0,4.9,44.6,5.4,
,45 to 64,"1,796","1,655","1,242",69.1,3.3,75.0,3.2,981,54.6,3.6,59.3,3.7,
,65+,"1,029",986,779,75.7,4.1,79.0,3.9,690,67.1,4.5,70.0,4.4,
WEST VIRGINIA,Total,"1,449","1,440",896,61.8,2.5,62.2,2.5,484,33.4,2.5,33.6,2.5,
,18 to 24,185,183,85,46.2,7.3,46.6,7.3,26,14.3,5.1,14.4,5.2,
,25 to 34,206,204,120,58.0,6.8,58.8,6.8,41,19.8,5.5,20.0,5.6,
,35 to 44,216,212,125,57.8,6.7,58.8,6.7,63,29.1,6.1,29.5,6.2,
,45 to 64,505,504,316,62.6,4.3,62.7,4.3,189,37.4,4.3,37.4,4.3,
,65+,338,338,250,74.1,4.7,74.1,4.7,165,49.0,5.4,49.0,5.4,
WISCONSIN,Total,"4,356","4,232","3,005",69.0,2.1,71.0,2.1,"2,343",53.8,2.3,55.4,2.3,
,18 to 24,489,470,223,45.6,6.8,47.4,7.0,131,26.9,6.1,27.9,6.3,
,25 to 34,756,724,415,54.9,5.5,57.3,5.6,287,38.0,5.3,39.6,5.5,
,35 to 44,661,639,456,69.0,5.4,71.4,5.4,336,50.8,5.9,52.6,6.0,
,45 to 64,"1,656","1,604","1,282",77.4,3.1,79.9,3.0,"1,041",62.9,3.6,64.9,3.6,
,65+,795,794,629,79.1,4.4,79.2,4.4,548,68.9,5.0,68.9,5.0,
WYOMING,Total,441,427,241,54.7,2.7,56.5,2.7,172,39.1,2.6,40.3,2.7,
,18 to 24,52,51,14,(B),(B),(B),(B),7,(B),(B),(B),(B),
,25 to 34,80,75,39,48.5,6.3,51.6,6.5,21,26.7,5.6,28.4,5.8,
,35 to 44,73,70,36,(B),(B),(B),(B),21,(B),(B),(B),(B),
,45 to 64,153,151,95,62.5,4.4,63.1,4.4,75,49.0,4.5,49.5,4.6,
,65+,82,80,57,68.9,5.7,71.1,5.7,48,58.3,6.1,60.1,6.2,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
A dash '-' represents zero or rounds to zero.,,,,,,,,,,,,,,
"The symbol (B) means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2014",,,,,,,,,,,,,,
