Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration of the Total Voting-Age Population, by Age, for States: November 2014",,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,
STATE,Age,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,
,65+,531,511,389,73.2,5.1,76.1,5.0,315,59.4,5.6,61.7,5.7,
DELAWARE,Total,712,661,442,62.0,2.4,66.8,2.5,299,42.0,2.5,45.2,2.6,
,18 to 24,78,72,36,(B),(B),(B),(B),12,(B),(B),(B),(B),
,25 to 34,120,103,58,48.4,6.1,56.6,6.6,31,25.9,5.4,30.3,6.1,
,35 to 44,111,97,62,55.8,6.3,63.7,6.6,36,32.1,6.0,36.6,6.6,
,45 to 64,246,237,171,69.6,3.9,72.3,3.9,123,50.1,4.3,52.1,4.4,
,65+,157,152,115,73.2,4.8,75.3,4.7,97,62.0,5.2,63.7,5.2,
DISTRICT OF COLUMBIA,Total,538,480,353,65.6,2.4,73.5,2.4,247,45.8,2.6,51.4,2.7,
,18 to 24,69,62,35,(B),(B),(B),(B),17,(B),(B),(B),(B),
,25 to 34,168,142,101,60.0,4.5,70.7,4.5,62,36.8,4.4,43.4,4.9,
,35 to 44,82,67,51,(B),(B),(B),(B),35,(B),(B),(B),(B),
,45 to 64,139,130,101,72.3,4.5,77.3,4.4,81,58.0,5.0,62.0,5.1,
,65+,80,78,66,81.6,5.2,83.7,5.0,52,64.9,6.3,66.6,6.3,
FLORIDA,Total,"15,414","13,879","8,691",56.4,1.2,62.6,1.2,"6,220",40.4,1.2,44.8,1.3,
,18 to 24,"1,406","1,301",486,34.5,3.8,37.3,4.0,229,16.3,2.9,17.6,3.1,
,25 to 34,"2,372","2,047","1,113",46.9,3.0,54.4,3.3,613,25.8,2.7,30.0,3.0,
,35 to 44,"2,634","2,269","1,335",50.7,2.9,58.8,3.1,812,30.8,2.7,35.8,3.0,
,45 to 64,"5,221","4,640","3,142",60.2,2.0,67.7,2.0,"2,395",45.9,2.0,51.6,2.2,
,65+,"3,781","3,621","2,615",69.2,2.2,72.2,2.2,"2,171",57.4,2.4,60.0,2.4,
GEORGIA,Total,"7,306","6,759","4,306",58.9,1.7,63.7,1.8,"2,919",40.0,1.7,43.2,1.8,
,18 to 24,975,895,376,38.6,4.7,42.0,5.0,201,20.6,3.9,22.4,4.2,
,25 to 34,"1,204","1,039",622,51.7,4.4,59.9,4.6,334,27.7,3.9,32.2,4.4,
,35 to 44,"1,353","1,230",801,59.2,4.0,65.1,4.1,541,40.0,4.0,44.0,4.3,
,45 to 64,"2,624","2,469","1,625",61.9,2.9,65.8,2.9,"1,160",44.2,2.9,47.0,3.0,
,65+,"1,151","1,126",882,76.6,3.8,78.3,3.7,684,59.4,4.4,60.7,4.4,
HAWAII,Total,"1,035",956,490,47.4,2.5,51.3,2.6,399,38.6,2.4,41.8,2.6,
,18 to 24,133,125,31,23.4,5.9,24.8,6.2,11,8.2,3.8,8.7,4.1,
,25 to 34,143,131,55,38.6,6.6,42.2,7.0,39,27.0,6.0,29.4,6.4,
,35 to 44,181,157,72,39.8,5.9,46.0,6.4,56,31.0,5.5,35.8,6.2,
,45 to 64,353,328,195,55.4,4.3,59.6,4.4,170,48.0,4.3,51.7,4.4,
,65+,225,215,136,60.6,5.3,63.5,5.3,124,55.1,5.3,57.7,5.4,
IDAHO,Total,"1,182","1,105",671,56.8,2.6,60.7,2.6,462,39.1,2.5,41.8,2.6,
,18 to 24,181,171,53,29.4,6.0,31.1,6.3,21,11.8,4.3,12.5,4.5,
,25 to 34,181,167,94,52.0,6.6,56.2,6.8,52,28.9,6.0,31.2,6.4,
,35 to 44,194,169,96,49.5,6.4,56.9,6.8,51,26.0,5.6,30.0,6.3,
,45 to 64,419,395,271,64.6,4.1,68.4,4.2,207,49.3,4.3,52.2,4.5,
,65+,206,202,157,75.9,5.3,77.6,5.2,131,63.5,6.0,64.9,6.0,
ILLINOIS,Total,"9,757","8,951","5,716",58.6,1.5,63.9,1.5,"3,734",38.3,1.5,41.7,1.6,
,18 to 24,"1,385","1,273",519,37.5,3.9,40.7,4.2,191,13.8,2.8,15.0,3.0,
,25 to 34,"1,713","1,458",831,48.5,3.7,57.0,3.9,406,23.7,3.1,27.8,3.5,
,35 to 44,"1,534","1,351",794,51.8,3.9,58.8,4.0,456,29.7,3.5,33.7,3.9,
,45 to 64,"3,402","3,208","2,347",69.0,2.4,73.2,2.4,"1,727",50.8,2.6,53.8,2.7,
,65+,"1,722","1,661","1,225",71.1,3.3,73.8,3.3,955,55.4,3.6,57.5,3.7,
INDIANA,Total,"4,913","4,693","3,048",62.0,2.1,64.9,2.1,"1,646",33.5,2.0,35.1,2.1,
,18 to 24,559,505,268,48.0,6.3,53.1,6.7,91,16.3,4.7,18.0,5.1,
,25 to 34,879,831,487,55.4,5.0,58.6,5.1,168,19.1,4.0,20.2,4.2,
,35 to 44,830,749,464,55.9,5.2,61.9,5.3,208,25.1,4.5,27.8,4.9,
,45 to 64,"1,759","1,725","1,142",64.9,3.4,66.2,3.4,701,39.8,3.5,40.6,3.5,
,65+,886,883,688,77.6,4.2,77.9,4.2,478,53.9,5.0,54.1,5.0,
IOWA,Total,"2,336","2,275","1,584",67.8,2.4,69.6,2.4,"1,203",51.5,2.6,52.9,2.6,
,18 to 24,256,250,110,43.0,7.7,44.0,7.8,51,19.7,6.2,20.2,6.3,
