"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
,35 to 44,105,90,76,72.1,5.7,84.2,5.0,61,57.9,6.3,67.7,6.4,
,45 to 64,133,121,91,68.8,5.3,75.6,5.1,69,52.3,5.7,57.5,5.9,
,65+,95,91,75,79.1,5.4,82.9,5.2,60,63.7,6.4,66.7,6.5,
FLORIDA,Total,"16,845","15,047","9,435",56.0,1.2,62.7,1.3,"7,918",47.0,1.3,52.6,1.3,
,18 to 24,"1,656","1,511",655,39.6,3.9,43.4,4.2,449,27.1,3.6,29.7,3.8,
,25 to 34,"2,561","2,128","1,160",45.3,3.2,54.5,3.5,852,33.3,3.0,40.0,3.5,
,35 to 44,"2,689","2,223","1,272",47.3,3.1,57.2,3.4,977,36.3,3.0,44.0,3.4,
,45 to 64,"5,697","5,166","3,472",60.9,2.1,67.2,2.1,"2,993",52.5,2.2,57.9,2.2,
,65+,"4,241","4,018","2,877",67.8,2.3,71.6,2.3,"2,647",62.4,2.4,65.9,2.4,
GEORGIA,Total,"7,850","7,311","4,840",61.7,1.8,66.2,1.8,"4,084",52.0,1.9,55.9,1.9,
,18 to 24,"1,037",978,516,49.8,5.1,52.8,5.3,359,34.6,4.9,36.7,5.1,
,25 to 34,"1,322","1,232",746,56.4,4.5,60.5,4.6,576,43.6,4.5,46.8,4.7,
,35 to 44,"1,357","1,207",801,59.0,4.4,66.3,4.5,685,50.5,4.5,56.7,4.7,
,45 to 64,"2,589","2,398","1,694",65.4,3.1,70.6,3.1,"1,489",57.5,3.2,62.1,3.3,
,65+,"1,545","1,496","1,084",70.2,3.9,72.5,3.8,976,63.2,4.1,65.2,4.1,
HAWAII,Total,"1,057",971,523,49.5,2.7,53.9,2.8,427,40.4,2.7,44.0,2.8,
,18 to 24,134,121,36,26.8,6.8,29.5,7.3,29,21.7,6.3,23.9,6.8,
,25 to 34,152,132,64,42.4,7.1,48.7,7.7,50,32.7,6.7,37.5,7.4,
,35 to 44,165,150,73,44.1,6.8,48.5,7.2,49,29.4,6.3,32.3,6.7,
,45 to 64,346,317,192,55.4,4.7,60.5,4.9,159,45.9,4.7,50.0,5.0,
,65+,261,251,159,60.9,5.3,63.4,5.4,141,54.3,5.5,56.5,5.5,
IDAHO,Total,"1,299","1,226",743,57.2,2.7,60.6,2.7,587,45.2,2.7,47.9,2.8,
,18 to 24,177,165,53,30.2,6.7,32.4,7.1,35,19.9,5.8,21.4,6.2,
,25 to 34,202,176,96,47.3,6.8,54.2,7.3,62,30.9,6.3,35.3,7.0,
,35 to 44,228,206,133,58.4,6.4,64.4,6.5,100,43.8,6.4,48.3,6.8,
,45 to 64,437,428,284,64.9,4.4,66.2,4.4,232,53.0,4.6,54.1,4.7,
,65+,256,250,177,69.2,5.6,70.7,5.6,158,61.7,5.9,63.1,5.9,
ILLINOIS,Total,"9,732","8,947","6,068",62.4,1.6,67.8,1.6,"4,740",48.7,1.7,53.0,1.7,
,18 to 24,"1,199","1,098",531,44.3,4.8,48.4,5.0,339,28.3,4.3,30.9,4.6,
,25 to 34,"1,721","1,514",955,55.5,4.0,63.1,4.1,650,37.8,3.9,42.9,4.2,
,35 to 44,"1,588","1,404",923,58.1,4.1,65.7,4.2,680,42.9,4.1,48.4,4.4,
,45 to 64,"3,407","3,152","2,317",68.0,2.6,73.5,2.6,"1,920",56.3,2.8,60.9,2.9,
,65+,"1,817","1,778","1,343",73.9,3.4,75.5,3.4,"1,151",63.3,3.7,64.7,3.8,
INDIANA,Total,"5,006","4,792","3,131",62.5,2.2,65.3,2.3,"2,364",47.2,2.3,49.3,2.4,
,18 to 24,652,583,288,44.2,6.4,49.4,6.8,181,27.8,5.8,31.1,6.3,
,25 to 34,834,785,437,52.4,5.7,55.7,5.8,285,34.2,5.4,36.3,5.6,
,35 to 44,792,756,515,65.0,5.6,68.1,5.6,358,45.2,5.8,47.3,6.0,
