"Table with row headers in column A, and column headers in rows 4 through 5.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States:  November 2018",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
,35 to 44,129,122,79,60.8,7.0,64.5,7.1,57,44.2,7.1,46.9,7.4,
,45 to 64,304,287,210,69.2,4.3,73.2,4.3,172,56.4,4.6,59.7,4.7,
,65+,159,155,121,75.7,5.5,78.0,5.4,95,59.8,6.3,61.6,6.4,
SOUTH CAROLINA,Total,"3,914","3,769","2,430",62.1,2.5,64.5,2.5,"1,836",46.9,2.6,48.7,2.7,
,18 to 24,391,378,176,44.9,8.2,46.4,8.3,91,23.3,7.0,24.1,7.2,
,25 to 34,752,720,407,54.1,5.9,56.6,6.0,228,30.3,5.5,31.7,5.6,
,35 to 44,556,500,323,58.1,6.8,64.6,7.0,265,47.7,6.9,53.1,7.3,
,45 to 64,"1,249","1,215",802,64.2,4.4,66.1,4.4,638,51.1,4.6,52.5,4.7,
,65+,965,956,721,74.8,4.6,75.5,4.5,613,63.6,5.0,64.2,5.0,
SOUTH DAKOTA,Total,648,637,429,66.2,2.7,67.3,2.7,331,51.0,2.9,51.9,2.9,
,18 to 24,91,90,42,46.2,7.7,47.1,7.8,24,25.8,6.8,26.3,6.9,
,25 to 34,109,105,57,52.5,7.1,54.2,7.2,33,30.3,6.5,31.3,6.7,
,35 to 44,95,93,61,64.4,7.3,65.8,7.3,40,42.5,7.5,43.4,7.6,
,45 to 64,204,202,155,76.1,4.4,76.8,4.4,136,66.7,4.9,67.3,4.9,
,65+,150,148,114,75.9,5.2,77.0,5.1,98,65.5,5.7,66.4,5.7,
TENNESSEE,Total,"5,202","5,016","3,183",61.2,2.2,63.5,2.2,"2,487",47.8,2.3,49.6,2.3,
,18 to 24,601,593,265,44.1,6.7,44.7,6.7,184,30.7,6.2,31.1,6.2,
,25 to 34,917,833,466,50.8,5.4,55.9,5.6,338,36.8,5.2,40.5,5.6,
,35 to 44,832,784,533,64.1,5.5,68.1,5.5,388,46.6,5.7,49.5,5.9,
,45 to 64,"1,738","1,695","1,143",65.8,3.7,67.4,3.7,916,52.7,3.9,54.0,4.0,
,65+,"1,114","1,111",776,69.6,4.5,69.8,4.5,661,59.4,4.8,59.5,4.8,
TEXAS,Total,"21,064","18,374","11,634",55.2,1.1,63.3,1.2,"8,886",42.2,1.1,48.4,1.2,
,18 to 24,"2,875","2,664","1,217",42.3,3.1,45.7,3.2,718,25.0,2.7,27.0,2.9,
,25 to 34,"4,189","3,527","1,835",43.8,2.6,52.0,2.8,"1,297",31.0,2.4,36.8,2.7,
,35 to 44,"3,690","3,053","1,895",51.3,2.7,62.1,2.9,"1,388",37.6,2.7,45.5,3.0,
,45 to 64,"6,564","5,681","4,061",61.9,2.0,71.5,2.0,"3,223",49.1,2.1,56.7,2.2,
,65+,"3,746","3,448","2,627",70.1,2.5,76.2,2.4,"2,259",60.3,2.7,65.5,2.7,
UTAH,Total,"2,247","2,109","1,443",64.2,2.2,68.4,2.2,"1,214",54.0,2.3,57.6,2.4,
,18 to 24,323,305,142,44.0,6.1,46.6,6.3,107,33.1,5.8,35.1,6.0,
,25 to 34,477,423,248,52.0,5.0,58.5,5.3,181,37.9,4.9,42.6,5.3,
,35 to 44,471,439,315,66.8,4.8,71.8,4.7,263,55.8,5.0,59.9,5.1,
,45 to 64,606,581,456,75.3,3.8,78.5,3.7,399,65.8,4.2,68.6,4.2,
,65+,370,361,282,76.3,4.9,78.2,4.8,265,71.8,5.1,73.5,5.1,
VERMONT,Total,503,497,343,68.1,2.9,69.0,2.9,273,54.2,3.1,54.9,3.1,
,18 to 24,46,45,22,B,B,B,B,16,B,B,B,B,
,25 to 34,86,84,50,57.8,7.3,59.0,7.4,34,39.6,7.3,40.4,7.4,
,35 to 44,77,75,47,60.9,7.7,62.2,7.7,37,48.7,7.8,49.7,7.9,
,45 to 64,164,163,121,73.5,4.7,74.1,4.7,98,59.5,5.3,60.0,5.3,
,65+,130,129,104,80.0,4.8,80.8,4.8,88,67.5,5.6,68.2,5.6,
VIRGINIA,Total,"6,386","5,773","4,159",65.1,2.0,72.0,2.0,"3,319",52.0,2.1,57.5,2.2,
,18 to 24,618,558,313,50.6,6.7,56.1,7.1,221,35.8,6.5,39.7,7.0,
,25 to 34,"1,191","1,023",674,56.6,4.8,65.9,5.0,514,43.1,4.8,50.2,5.2,
,35 to 44,"1,063",874,605,56.9,5.1,69.2,5.2,411,38.6,5.0,47.0,5.7,
,45 to 64,"2,223","2,070","1,539",69.2,3.3,74.3,3.2,"1,298",58.4,3.5,62.7,3.6,
,65+,"1,291","1,249","1,029",79.7,3.8,82.4,3.6,875,67.8,4.4,70.1,4.3,
WASHINGTON,Total,"5,775","5,228","3,852",66.7,2.1,73.7,2.0,"3,234",56.0,2.2,61.9,2.2,
,18 to 24,624,577,315,50.4,6.7,54.5,6.9,201,32.2,6.2,34.8,6.6,
,25 to 34,"1,067",914,637,59.7,5.0,69.7,5.1,455,42.6,5.0,49.8,5.5,
,35 to 44,"1,034",897,672,65.0,4.9,74.8,4.8,591,57.1,5.1,65.8,5.3,
,45 to 64,"1,972","1,798","1,365",69.2,3.5,75.9,3.4,"1,185",60.1,3.7,65.9,3.7,
,65+,"1,079","1,041",864,80.1,4.0,83.0,3.9,802,74.3,4.4,77.0,4.3,
WEST VIRGINIA,Total,"1,406","1,384",892,63.4,2.8,64.5,2.8,610,43.4,2.9,44.1,2.9,
,18 to 24,169,159,79,47.0,8.4,49.8,8.6,36,21.3,6.9,22.6,7.2,
,25 to 34,201,194,98,48.7,7.7,50.6,7.8,50,24.8,6.6,25.8,6.8,
,35 to 44,199,197,120,59.9,7.5,60.6,7.6,73,36.7,7.4,37.1,7.5,
,45 to 64,478,476,320,67.0,4.7,67.3,4.7,229,47.9,5.0,48.1,5.0,
,65+,358,358,275,76.7,4.9,76.8,4.9,222,62.0,5.6,62.1,5.6,
WISCONSIN,Total,"4,436","4,296","3,129",70.5,2.3,72.8,2.2,"2,776",62.6,2.4,64.6,2.4,
,18 to 24,471,462,254,54.0,7.6,55.0,7.7,221,46.9,7.6,47.7,7.7,
,25 to 34,747,689,424,56.8,6.0,61.6,6.1,339,45.5,6.0,49.3,6.3,
,35 to 44,703,663,438,62.3,6.1,66.1,6.1,388,55.2,6.2,58.5,6.3,
,45 to 64,"1,490","1,467","1,189",79.8,3.4,81.0,3.4,"1,056",70.9,3.9,72.0,3.9,
,65+,"1,026","1,015",824,80.3,4.1,81.2,4.1,772,75.2,4.5,76.0,4.4,
WYOMING,Total,430,422,268,62.4,2.9,63.5,2.9,220,51.2,3.0,52.1,3.0,
,18 to 24,44,44,15,B,B,B,B,9,B,B,B,B,
,25 to 34,84,80,42,50.1,6.7,52.4,6.8,28,33.6,6.3,35.2,6.5,
,35 to 44,67,65,40,B,B,B,B,28,B,B,B,B,
,45 to 64,142,141,98,69.3,4.8,69.8,4.8,88,62.0,5.0,62.5,5.0,
,65+,94,93,73,77.3,5.3,78.1,5.3,67,71.1,5.8,71.8,5.7,
,,,,,,,,,,,,,,
1 This figure added to or subtracted from the estimate provides the 90-percent confidence interval.,,,,,,,,,,,,,,
NOTES: ,,,,,,,,,,,,,,
"The symbol B means that the base is less than 75,000 and therefore too small to show the derived measure.",,,,,,,,,,,,,,
Estimates may not sum to totals due to rounding.,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see https://www2.census.gov/programs-surveys/cps/techdocs/cpsnov18.pdf",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, November 2018",,,,,,,,,,,,,,
