"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"76","HAWAII","25 to 34",132,64,42.4,48.7,50,32.7,37.5,"2018"
"77","HAWAII","35 to 44",150,73,44.1,48.5,49,29.4,32.3,"2018"
"78","HAWAII","45 to 64",317,192,55.4,60.5,159,45.9,50,"2018"
"79","HAWAII","65+",251,159,60.9,63.4,141,54.3,56.5,"2018"
"80","IDAHO","Total",1226,743,57.2,60.6,587,45.2,47.9,"2018"
"81","IDAHO","18 to 24",165,53,30.2,32.4,35,19.9,21.4,"2018"
"82","IDAHO","25 to 34",176,96,47.3,54.2,62,30.9,35.3,"2018"
"83","IDAHO","35 to 44",206,133,58.4,64.4,100,43.8,48.3,"2018"
"84","IDAHO","45 to 64",428,284,64.9,66.2,232,53,54.1,"2018"
"85","IDAHO","65+",250,177,69.2,70.7,158,61.7,63.1,"2018"
"86","ILLINOIS","Total",8947,6068,62.4,67.8,4740,48.7,53,"2018"
"87","ILLINOIS","18 to 24",1098,531,44.3,48.4,339,28.3,30.9,"2018"
"88","ILLINOIS","25 to 34",1514,955,55.5,63.1,650,37.8,42.9,"2018"
"89","ILLINOIS","35 to 44",1404,923,58.1,65.7,680,42.9,48.4,"2018"
"90","ILLINOIS","45 to 64",3152,2317,68,73.5,1920,56.3,60.9,"2018"
"91","ILLINOIS","65+",1778,1343,73.9,75.5,1151,63.3,64.7,"2018"
"92","INDIANA","Total",4792,3131,62.5,65.3,2364,47.2,49.3,"2018"
"93","INDIANA","18 to 24",583,288,44.2,49.4,181,27.8,31.1,"2018"
"94","INDIANA","25 to 34",785,437,52.4,55.7,285,34.2,36.3,"2018"
"95","INDIANA","35 to 44",756,515,65,68.1,358,45.2,47.3,"2018"
"96","INDIANA","45 to 64",1688,1156,66.2,68.5,959,55,56.8,"2018"
"97","INDIANA","65+",980,735,74.8,75.1,580,59,59.2,"2018"
"98","IOWA","Total",2239,1658,69.8,74,1335,56.2,59.6,"2018"
"99","IOWA","18 to 24",259,133,46.3,51.3,89,30.9,34.2,"2018"
"100","IOWA","25 to 34",402,273,61.4,68.1,192,43.2,47.9,"2018"
"101","IOWA","35 to 44",306,228,66.8,74.3,174,51,56.8,"2018"
"102","IOWA","45 to 64",732,557,72.9,76,462,60.5,63.1,"2018"
"103","IOWA","65+",539,467,86.5,86.5,418,77.4,77.4,"2018"
"104","KANSAS","Total",2026,1449,67.4,71.5,1152,53.6,56.9,"2018"
"105","KANSAS","18 to 24",246,152,58.1,62,93,35.4,37.7,"2018"
"106","KANSAS","25 to 34",319,175,48.8,54.7,134,37.3,41.8,"2018"
