"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"1","US","Total",210800,137263,59.8,65.1,95987,41.8,45.5,"2018"
"2","US","18 to 24",26718,12095,41.8,45.3,5682,19.6,21.3,"2018"
"3","US","25 to 44",70472,43414,53.5,61.6,26122,32.2,37.1,"2018"
"4","US","45 to 64",75865,53499,66.3,70.5,41248,51.1,54.4,"2018"
"5","US","65 to 74",20605,15347,71.8,74.5,12789,59.9,62.1,"2018"
"6","US","75+",17140,12908,73.3,75.3,10146,57.7,59.2,"2018"
"7","ALABAMA","Total",3420,2224,63.1,65,1509,42.8,44.1,"2018"
"8","ALABAMA","18 to 24",388,172,43.3,44.3,66,16.6,17,"2018"
"9","ALABAMA","25 to 44",1167,732,59.1,62.8,470,38,40.3,"2018"
"10","ALABAMA","45 to 64",1232,836,66.7,67.9,625,49.9,50.7,"2018"
"11","ALABAMA","65 to 74",377,284,74.6,75.3,215,56.6,57.1,"2018"
"12","ALABAMA","75+",257,200,77.8,77.8,133,51.7,51.7,"2018"
"13","ALASKA","Total",478,317,63.8,66.4,242,48.6,50.7,"2018"
"14","ALASKA","18 to 24",64,22,NA,34.6,11,NA,17.7,"2018"
"15","ALASKA","25 to 44",178,116,61.6,65.3,81,42.9,45.5,"2018"
"16","ALASKA","45 to 64",177,133,73.4,75.5,108,59.5,61.2,"2018"
"17","ALASKA","65 to 74",37,30,NA,81.1,27,NA,74,"2018"
"18","ALASKA","75+",22,16,NA,71.8,14,NA,65.3,"2018"
"19","ARIZONA","Total",4443,2934,60.7,66,2170,44.9,48.8,"2018"
"20","ARIZONA","18 to 24",568,273,45.2,48,154,25.4,27,"2018"
"21","ARIZONA","25 to 44",1537,960,54.5,62.4,624,35.4,40.6,"2018"
"22","ARIZONA","45 to 64",1455,1038,66.2,71.3,832,53,57.1,"2018"
"23","ARIZONA","65 to 74",530,394,72.4,74.3,341,62.7,64.4,"2018"
"24","ARIZONA","75+",353,270,76.5,76.5,220,62.3,62.3,"2018"
"25","ARKANSAS","Total",2068,1256,58.7,60.7,841,39.3,40.7,"2018"
"26","ARKANSAS","18 to 24",299,109,34.9,36.3,45,14.6,15.2,"2018"
"27","ARKANSAS","25 to 44",637,358,52.9,56.3,188,27.7,29.5,"2018"
"28","ARKANSAS","45 to 64",756,510,65.9,67.4,401,51.8,53,"2018"
"29","ARKANSAS","65 to 74",230,164,70.8,71.5,139,59.9,60.4,"2018"
"30","ARKANSAS","75+",146,115,78.5,78.5,69,46.8,46.8,"2018"
"31","CALIFORNIA","Total",22767,13864,50.6,60.9,10725,39.2,47.1,"2018"
"32","CALIFORNIA","18 to 24",3192,1388,37.9,43.5,803,21.9,25.1,"2018"
"33","CALIFORNIA","25 to 44",7884,4485,42.9,56.9,3106,29.7,39.4,"2018"
"34","CALIFORNIA","45 to 64",7938,5290,57.5,66.6,4414,48,55.6,"2018"
"35","CALIFORNIA","65 to 74",2036,1433,63.7,70.4,1258,55.9,61.8,"2018"
"36","CALIFORNIA","75+",1716,1269,69.7,73.9,1144,62.8,66.6,"2018"
"37","COLORADO","Total",3473,2299,61,66.2,1826,48.4,52.6,"2018"
"38","COLORADO","18 to 24",422,191,41.7,45.1,101,22,23.8,"2018"
"39","COLORADO","25 to 44",1246,777,54.3,62.4,558,39,44.8,"2018"
"40","COLORADO","45 to 64",1274,911,68.2,71.5,775,58,60.9,"2018"
"41","COLORADO","65 to 74",301,230,74.1,76.5,214,68.9,71.1,"2018"
"42","COLORADO","75+",230,190,81.7,82.9,178,76.3,77.3,"2018"
"43","CONNECTICUT","Total",2463,1641,62,66.6,1215,45.9,49.3,"2018"
"44","CONNECTICUT","18 to 24",320,142,42.3,44.2,70,20.9,21.8,"2018"
"45","CONNECTICUT","25 to 44",732,446,53.1,60.9,287,34.1,39.1,"2018"
"46","CONNECTICUT","45 to 64",972,727,70.5,74.8,599,58.1,61.6,"2018"
"47","CONNECTICUT","65 to 74",221,168,74.7,75.9,141,62.7,63.7,"2018"
"48","CONNECTICUT","75+",218,160,72.9,73.3,120,54.6,54.9,"2018"
"49","DELAWARE","Total",634,418,62.6,65.9,323,48.5,51,"2018"
"50","DELAWARE","18 to 24",71,30,38.3,41.5,18,23.4,25.4,"2018"
"51","DELAWARE","25 to 44",206,126,55.9,60.9,90,40.1,43.7,"2018"
"52","DELAWARE","45 to 64",221,161,71.3,73.1,133,58.7,60.2,"2018"
"53","DELAWARE","65 to 74",74,56,73.2,75,47,61.6,63.1,"2018"
"54","DELAWARE","75+",61,45,NA,73.5,35,NA,57.4,"2018"
"55","DISTRICT OF COLUMBIA","Total",441,295,60.3,66.9,200,40.8,45.3,"2018"
"56","DISTRICT OF COLUMBIA","18 to 24",52,27,NA,52.3,16,NA,30.1,"2018"
"57","DISTRICT OF COLUMBIA","25 to 44",194,127,57.1,65.3,81,36.4,41.6,"2018"
"58","DISTRICT OF COLUMBIA","45 to 64",115,83,65.3,72.2,57,44.4,49.2,"2018"
"59","DISTRICT OF COLUMBIA","65 to 74",38,30,NA,78.7,24,NA,64.1,"2018"
"60","DISTRICT OF COLUMBIA","75+",42,28,NA,67,23,NA,53.5,"2018"
"61","FLORIDA","Total",12697,7994,56.2,63,5572,39.2,43.9,"2018"
"62","FLORIDA","18 to 24",1376,626,40.3,45.5,316,20.4,23,"2018"
"63","FLORIDA","25 to 44",3853,2253,49,58.5,1320,28.7,34.3,"2018"
"64","FLORIDA","45 to 64",4539,2973,59.7,65.5,2211,44.4,48.7,"2018"
"65","FLORIDA","65 to 74",1585,1134,67.1,71.6,920,54.4,58,"2018"
"66","FLORIDA","75+",1344,1008,71.7,75,806,57.3,59.9,"2018"
"67","GEORGIA","Total",6574,4076,57.2,62,2865,40.2,43.6,"2018"
"68","GEORGIA","18 to 24",740,332,40.9,44.8,154,19,20.8,"2018"
"69","GEORGIA","25 to 44",2461,1542,55.2,62.6,997,35.7,40.5,"2018"
"70","GEORGIA","45 to 64",2447,1616,63.3,66,1246,48.8,50.9,"2018"
"71","GEORGIA","65 to 74",596,389,63.2,65.2,321,52.2,53.8,"2018"
"72","GEORGIA","75+",330,197,56.8,59.9,147,42.4,44.7,"2018"
"73","HAWAII","Total",892,466,48.3,52.3,385,39.9,43.1,"2018"
"74","HAWAII","18 to 24",114,37,31,32.6,25,20.8,21.9,"2018"
"75","HAWAII","25 to 44",290,128,39.3,43.9,93,28.6,32,"2018"
"76","HAWAII","45 to 64",310,187,56.2,60.5,161,48.2,51.9,"2018"
"77","HAWAII","65 to 74",80,53,61.3,67,51,58.4,63.8,"2018"
"78","HAWAII","75+",98,61,60.6,61.9,55,55.3,56.5,"2018"
"79","IDAHO","Total",1048,666,59.8,63.5,498,44.7,47.5,"2018"
"80","IDAHO","18 to 24",129,51,35.3,39.5,27,18.9,21.2,"2018"
"81","IDAHO","25 to 44",361,213,54,59,128,32.5,35.5,"2018"
"82","IDAHO","45 to 64",359,248,66.5,69.1,206,55.1,57.3,"2018"
"83","IDAHO","65 to 74",110,83,74.2,75.6,76,67.7,68.9,"2018"
"84","IDAHO","75+",89,70,78.3,79.2,61,68.1,68.8,"2018"
"85","ILLINOIS","Total",8780,5823,60.5,66.3,3994,41.5,45.5,"2018"
"86","ILLINOIS","18 to 24",1215,502,39.6,41.3,250,19.7,20.6,"2018"
"87","ILLINOIS","25 to 44",2894,1849,53.2,63.9,1079,31.1,37.3,"2018"
