"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"1","UNITED STATES","Total",219941,142166,59.3,64.6,92251,38.5,41.9,"2018"
"2","UNITED STATES","18 to 24",27539,11610,39.1,42.2,4721,15.9,17.1,"2018"
"3","UNITED STATES","25 to 34",37061,20914,49.4,56.4,10223,24.2,27.6,"2018"
"4","UNITED STATES","35 to 44",34334,22273,56.3,64.9,12986,32.8,37.8,"2018"
"5","UNITED STATES","45 to 64",76882,54107,65.4,70.4,38111,46,49.6,"2018"
"6","UNITED STATES","65+",44125,33261,73,75.4,26210,57.5,59.4,"2018"
"7","ALABAMA","Total",3519,2366,64.7,67.2,1497,40.9,42.5,"2018"
"8","ALABAMA","18 to 24",449,181,37.4,40.2,77,16.1,17.2,"2018"
"9","ALABAMA","25 to 34",519,330,59.4,63.6,155,27.9,29.9,"2018"
"10","ALABAMA","35 to 44",566,373,61.1,65.9,244,40,43.2,"2018"
"11","ALABAMA","45 to 64",1277,951,73.3,74.5,630,48.5,49.3,"2018"
"12","ALABAMA","65+",708,532,74.9,75.1,390,54.9,55.1,"2018"
"13","ALASKA","Total",503,336,64.6,66.8,255,49,50.7,"2018"
"14","ALASKA","18 to 24",74,34,NA,NA,19,NA,NA,"2018"
"15","ALASKA","25 to 34",107,70,62.7,65.2,46,41.3,42.9,"2018"
"16","ALASKA","35 to 44",75,47,NA,NA,34,NA,NA,"2018"
"17","ALASKA","45 to 64",184,136,71.8,74,113,59.8,61.6,"2018"
"18","ALASKA","65+",64,49,NA,NA,43,NA,NA,"2018"
"19","ARIZONA","Total",4397,2738,54.8,62.3,1785,35.7,40.6,"2018"
"20","ARIZONA","18 to 24",491,181,35.1,36.8,74,14.4,15.1,"2018"
"21","ARIZONA","25 to 34",735,411,47.9,56,170,19.8,23.1,"2018"
"22","ARIZONA","35 to 44",760,458,48.3,60.3,245,25.8,32.2,"2018"
"23","ARIZONA","45 to 64",1526,1012,58.7,66.3,710,41.1,46.5,"2018"
"24","ARIZONA","65+",885,676,71.4,76.3,587,61.9,66.3,"2018"
"25","ARKANSAS","Total",2057,1292,59,62.8,798,36.5,38.8,"2018"
"26","ARKANSAS","18 to 24",230,116,48.2,50.7,36,14.7,15.5,"2018"
"27","ARKANSAS","25 to 34",347,194,49.9,55.8,76,19.6,21.9,"2018"
"28","ARKANSAS","35 to 44",313,202,57.4,64.5,127,36.2,40.8,"2018"
"29","ARKANSAS","45 to 64",767,484,60.7,63.1,341,42.8,44.5,"2018"
"30","ARKANSAS","65+",401,296,72.2,73.9,218,53.1,54.4,"2018"
"31","CALIFORNIA","Total",24455,14113,48.6,57.7,8949,30.8,36.6,"2018"
"32","CALIFORNIA","18 to 24",3708,1438,34.8,38.8,591,14.3,15.9,"2018"
"33","CALIFORNIA","25 to 34",4242,2082,39.4,49.1,917,17.3,21.6,"2018"
"34","CALIFORNIA","35 to 44",3845,2117,42.1,55.1,1172,23.3,30.5,"2018"
"35","CALIFORNIA","45 to 64",8163,5377,55.6,65.9,3712,38.4,45.5,"2018"
"36","CALIFORNIA","65+",4498,3099,63,68.9,2558,52,56.9,"2018"
"37","COLORADO","Total",3732,2654,66.2,71.1,2211,55.2,59.3,"2018"
"38","COLORADO","18 to 24",347,131,35,37.7,64,17.1,18.4,"2018"
"39","COLORADO","25 to 34",795,506,59.3,63.7,368,43.1,46.3,"2018"
"40","COLORADO","35 to 44",658,477,64.3,72.5,386,51.9,58.6,"2018"
"41","COLORADO","45 to 64",1217,939,71.3,77.1,833,63.3,68.4,"2018"
"42","COLORADO","65+",715,601,83.2,84.2,561,77.6,78.5,"2018"
"43","CONNECTICUT","Total",2560,1668,59.9,65.1,1195,43,46.7,"2018"
"44","CONNECTICUT","18 to 24",280,112,35.2,40.1,56,17.7,20.1,"2018"
"45","CONNECTICUT","25 to 34",387,202,46.5,52.2,118,27.2,30.5,"2018"
"46","CONNECTICUT","35 to 44",391,246,54.5,62.8,150,33.2,38.3,"2018"
"47","CONNECTICUT","45 to 64",991,719,68.6,72.5,556,53.1,56.1,"2018"
"48","CONNECTICUT","65+",511,389,73.2,76.1,315,59.4,61.7,"2018"
"49","DELAWARE","Total",661,442,62,66.8,299,42,45.2,"2018"
"50","DELAWARE","18 to 24",72,36,NA,NA,12,NA,NA,"2018"
"51","DELAWARE","25 to 34",103,58,48.4,56.6,31,25.9,30.3,"2018"
"52","DELAWARE","35 to 44",97,62,55.8,63.7,36,32.1,36.6,"2018"
"53","DELAWARE","45 to 64",237,171,69.6,72.3,123,50.1,52.1,"2018"
"54","DELAWARE","65+",152,115,73.2,75.3,97,62,63.7,"2018"
"55","DISTRICT OF COLUMBIA","Total",480,353,65.6,73.5,247,45.8,51.4,"2018"
"56","DISTRICT OF COLUMBIA","18 to 24",62,35,NA,NA,17,NA,NA,"2018"
"57","DISTRICT OF COLUMBIA","25 to 34",142,101,60,70.7,62,36.8,43.4,"2018"
"58","DISTRICT OF COLUMBIA","35 to 44",67,51,NA,NA,35,NA,NA,"2018"
"59","DISTRICT OF COLUMBIA","45 to 64",130,101,72.3,77.3,81,58,62,"2018"
"60","DISTRICT OF COLUMBIA","65+",78,66,81.6,83.7,52,64.9,66.6,"2018"
"61","FLORIDA","Total",13879,8691,56.4,62.6,6220,40.4,44.8,"2018"
"62","FLORIDA","18 to 24",1301,486,34.5,37.3,229,16.3,17.6,"2018"
"63","FLORIDA","25 to 34",2047,1113,46.9,54.4,613,25.8,30,"2018"
"64","FLORIDA","35 to 44",2269,1335,50.7,58.8,812,30.8,35.8,"2018"
"65","FLORIDA","45 to 64",4640,3142,60.2,67.7,2395,45.9,51.6,"2018"
"66","FLORIDA","65+",3621,2615,69.2,72.2,2171,57.4,60,"2018"
"67","GEORGIA","Total",6759,4306,58.9,63.7,2919,40,43.2,"2018"
"68","GEORGIA","18 to 24",895,376,38.6,42,201,20.6,22.4,"2018"
"69","GEORGIA","25 to 34",1039,622,51.7,59.9,334,27.7,32.2,"2018"
"70","GEORGIA","35 to 44",1230,801,59.2,65.1,541,40,44,"2018"
"71","GEORGIA","45 to 64",2469,1625,61.9,65.8,1160,44.2,47,"2018"
"72","GEORGIA","65+",1126,882,76.6,78.3,684,59.4,60.7,"2018"
"73","HAWAII","Total",956,490,47.4,51.3,399,38.6,41.8,"2018"
"74","HAWAII","18 to 24",125,31,23.4,24.8,11,8.2,8.7,"2018"
"75","HAWAII","25 to 34",131,55,38.6,42.2,39,27,29.4,"2018"
"76","HAWAII","35 to 44",157,72,39.8,46,56,31,35.8,"2018"
"77","HAWAII","45 to 64",328,195,55.4,59.6,170,48,51.7,"2018"
"78","HAWAII","65+",215,136,60.6,63.5,124,55.1,57.7,"2018"
"79","IDAHO","Total",1105,671,56.8,60.7,462,39.1,41.8,"2018"
"80","IDAHO","18 to 24",171,53,29.4,31.1,21,11.8,12.5,"2018"
"81","IDAHO","25 to 34",167,94,52,56.2,52,28.9,31.2,"2018"
"82","IDAHO","35 to 44",169,96,49.5,56.9,51,26,30,"2018"
"83","IDAHO","45 to 64",395,271,64.6,68.4,207,49.3,52.2,"2018"
"84","IDAHO","65+",202,157,75.9,77.6,131,63.5,64.9,"2018"
"85","ILLINOIS","Total",8951,5716,58.6,63.9,3734,38.3,41.7,"2018"
"86","ILLINOIS","18 to 24",1273,519,37.5,40.7,191,13.8,15,"2018"
"87","ILLINOIS","25 to 34",1458,831,48.5,57,406,23.7,27.8,"2018"
"88","ILLINOIS","35 to 44",1351,794,51.8,58.8,456,29.7,33.7,"2018"
"89","ILLINOIS","45 to 64",3208,2347,69,73.2,1727,50.8,53.8,"2018"
"90","ILLINOIS","65+",1661,1225,71.1,73.8,955,55.4,57.5,"2018"
"91","INDIANA","Total",4693,3048,62,64.9,1646,33.5,35.1,"2018"
"92","INDIANA","18 to 24",505,268,48,53.1,91,16.3,18,"2018"
"93","INDIANA","25 to 34",831,487,55.4,58.6,168,19.1,20.2,"2018"
"94","INDIANA","35 to 44",749,464,55.9,61.9,208,25.1,27.8,"2018"
"95","INDIANA","45 to 64",1725,1142,64.9,66.2,701,39.8,40.6,"2018"
"96","INDIANA","65+",883,688,77.6,77.9,478,53.9,54.1,"2018"
"97","IOWA","Total",2275,1584,67.8,69.6,1203,51.5,52.9,"2018"
"98","IOWA","18 to 24",250,110,43,44,51,19.7,20.2,"2018"
"99","IOWA","25 to 34",414,247,55.6,59.7,141,31.6,33.9,"2018"
"100","IOWA","35 to 44",329,238,69.1,72.2,179,52.1,54.5,"2018"
"101","IOWA","45 to 64",810,598,73,73.8,488,59.5,60.2,"2018"
"102","IOWA","65+",471,390,82.9,82.9,345,73.3,73.3,"2018"
"103","KANSAS","Total",1993,1353,63.7,67.9,962,45.3,48.3,"2018"
"104","KANSAS","18 to 24",240,87,33.7,36.1,34,13.3,14.3,"2018"
"105","KANSAS","25 to 34",370,217,52.5,58.8,108,26,29.2,"2018"
"106","KANSAS","35 to 44",290,190,58.6,65.6,129,39.8,44.6,"2018"
"107","KANSAS","45 to 64",678,524,73.4,77.2,417,58.4,61.4,"2018"
"108","KANSAS","65+",415,335,80.7,80.7,274,66,66,"2018"
"109","KENTUCKY","Total",3207,2298,69.2,71.6,1525,45.9,47.5,"2018"
"110","KENTUCKY","18 to 24",406,226,52.3,55.7,101,23.4,24.9,"2018"
"111","KENTUCKY","25 to 34",518,349,62.5,67.4,202,36.1,38.9,"2018"
"112","KENTUCKY","35 to 44",490,382,74.5,77.9,236,46,48.1,"2018"
"113","KENTUCKY","45 to 64",1172,866,72.4,73.9,619,51.8,52.8,"2018"
"114","KENTUCKY","65+",621,475,76.2,76.5,367,59,59.2,"2018"
"115","LOUISIANA","Total",3342,2398,69.5,71.7,1677,48.6,50.2,"2018"
"116","LOUISIANA","18 to 24",484,258,51.6,53.4,132,26.2,27.2,"2018"
"117","LOUISIANA","25 to 34",610,410,63.8,67.2,232,36.2,38.1,"2018"
"118","LOUISIANA","35 to 44",463,306,60.9,66,183,36.5,39.6,"2018"
"119","LOUISIANA","45 to 64",1162,913,77.5,78.6,703,59.7,60.5,"2018"
"120","LOUISIANA","65+",623,510,81.6,81.9,426,68.2,68.5,"2018"
"121","MAINE","Total",1045,799,75.4,76.5,642,60.5,61.5,"2018"
"122","MAINE","18 to 24",107,54,49.4,50.7,33,30.2,31,"2018"
"123","MAINE","25 to 34",152,98,63.5,64.4,67,43.4,44,"2018"
"124","MAINE","35 to 44",149,119,77.8,79.7,90,58.6,60.1,"2018"
