"","state","age","total_cit","total_register","percent_register","percent_register_cit","total_vote","percent_vote","percent_vote_cit","year"
"125","MAINE","45 to 64",376,310,81.2,82.5,258,67.7,68.7,"2018"
"126","MAINE","65+",260,218,83.4,83.9,194,74.2,74.7,"2018"
"127","MARYLAND","Total",4148,2995,65.9,72.2,2028,44.7,48.9,"2018"
"128","MARYLAND","18 to 24",434,210,42.9,48.4,106,21.7,24.5,"2018"
"129","MARYLAND","25 to 34",822,544,56.4,66.1,265,27.5,32.3,"2018"
"130","MARYLAND","35 to 44",571,432,66.6,75.8,285,44,50,"2018"
"131","MARYLAND","45 to 64",1583,1229,73,77.6,912,54.2,57.6,"2018"
"132","MARYLAND","65+",738,580,76.6,78.5,460,60.8,62.3,"2018"
"133","MASSACHUSETTS","Total",4815,3250,61.6,67.5,2259,42.8,46.9,"2018"
"134","MASSACHUSETTS","18 to 24",536,238,40.4,44.4,109,18.5,20.3,"2018"
"135","MASSACHUSETTS","25 to 34",845,427,43.4,50.5,233,23.7,27.5,"2018"
"136","MASSACHUSETTS","35 to 44",718,504,59.8,70.3,298,35.3,41.5,"2018"
"137","MASSACHUSETTS","45 to 64",1696,1271,70.1,74.9,974,53.7,57.4,"2018"
"138","MASSACHUSETTS","65+",1021,810,77.3,79.4,646,61.6,63.3,"2018"
"139","MICHIGAN","Total",7246,5159,68.1,71.2,3416,45.1,47.1,"2018"
"140","MICHIGAN","18 to 24",899,448,48.9,49.8,167,18.3,18.6,"2018"
"141","MICHIGAN","25 to 34",1039,674,59.8,64.9,340,30.1,32.7,"2018"
"142","MICHIGAN","35 to 44",1193,863,67.9,72.3,546,43,45.8,"2018"
"143","MICHIGAN","45 to 64",2553,1888,71,74,1312,49.3,51.4,"2018"
"144","MICHIGAN","65+",1562,1285,80.2,82.3,1051,65.6,67.3,"2018"
"145","MINNESOTA","Total",3933,2822,68.8,71.8,2047,49.9,52,"2018"
"146","MINNESOTA","18 to 24",520,206,38.4,39.6,112,20.9,21.6,"2018"
"147","MINNESOTA","25 to 34",660,416,58.6,63.1,252,35.4,38.1,"2018"
"148","MINNESOTA","35 to 44",598,465,74,77.7,292,46.5,48.9,"2018"
"149","MINNESOTA","45 to 64",1343,1080,76.7,80.5,802,56.9,59.7,"2018"
"150","MINNESOTA","65+",812,654,79.9,80.6,588,71.8,72.5,"2018"
"151","MISSISSIPPI","Total",2142,1628,74.6,76,907,41.6,42.3,"2018"
"152","MISSISSIPPI","18 to 24",322,218,66.6,67.8,85,26.1,26.5,"2018"
"153","MISSISSIPPI","25 to 34",360,234,63.1,64.9,88,23.8,24.5,"2018"
"154","MISSISSIPPI","35 to 44",302,210,67.7,69.7,111,35.8,36.8,"2018"
"155","MISSISSIPPI","45 to 64",730,591,80,81,374,50.6,51.2,"2018"
"156","MISSISSIPPI","65+",429,375,86.4,87.5,248,57.2,57.9,"2018"
"157","MISSOURI","Total",4429,3194,70.9,72.1,1713,38,38.7,"2018"
"158","MISSOURI","18 to 24",438,217,49,49.4,64,14.5,14.6,"2018"
"159","MISSOURI","25 to 34",727,477,63.7,65.6,201,26.8,27.6,"2018"
"160","MISSOURI","35 to 44",776,586,72.8,75.5,305,37.8,39.2,"2018"
"161","MISSOURI","45 to 64",1580,1192,74.8,75.4,684,42.9,43.3,"2018"
"162","MISSOURI","65+",907,723,78.9,79.7,460,50.2,50.7,"2018"
"163","MONTANA","Total",782,506,64.3,64.8,391,49.7,50.1,"2018"
"164","MONTANA","18 to 24",99,43,42.8,43.7,21,20.7,21.1,"2018"
"165","MONTANA","25 to 34",133,73,53.7,54.8,42,31,31.6,"2018"
"166","MONTANA","35 to 44",104,73,70.2,70.2,55,52.8,52.8,"2018"
"167","MONTANA","45 to 64",277,190,68.2,68.5,159,57,57.2,"2018"
"168","MONTANA","65+",169,128,75.6,75.6,115,68.2,68.2,"2018"
"169","NEBRASKA","Total",1306,873,62.4,66.9,579,41.4,44.3,"2018"
"170","NEBRASKA","18 to 24",166,76,42.3,45.8,26,14.4,15.5,"2018"
"171","NEBRASKA","25 to 34",237,124,46.7,52.3,68,25.7,28.8,"2018"
"172","NEBRASKA","35 to 44",191,130,59.3,68.1,79,35.9,41.3,"2018"
"173","NEBRASKA","45 to 64",438,322,70.4,73.6,232,50.8,53.1,"2018"
"174","NEBRASKA","65+",275,221,79.5,80.6,174,62.6,63.4,"2018"
"175","NEVADA","Total",1858,1088,51.1,58.5,693,32.6,37.3,"2018"
"176","NEVADA","18 to 24",233,98,39.9,41.8,42,17.3,18.1,"2018"
"177","NEVADA","25 to 34",332,163,42.1,49.1,89,23,26.8,"2018"
"178","NEVADA","35 to 44",310,176,46.4,56.7,91,23.9,29.3,"2018"
"179","NEVADA","45 to 64",606,370,51.5,61.1,248,34.6,41,"2018"
"180","NEVADA","65+",377,281,70.5,74.6,223,55.8,59,"2018"
"181","NEW HAMPSHIRE","Total",1015,694,66.3,68.3,509,48.6,50.2,"2018"
"182","NEW HAMPSHIRE","18 to 24",113,53,46.7,46.7,21,19,19,"2018"
"183","NEW HAMPSHIRE","25 to 34",151,77,47,51.3,40,24.4,26.6,"2018"
"184","NEW HAMPSHIRE","35 to 44",155,106,66.8,68.4,77,48.3,49.5,"2018"
"185","NEW HAMPSHIRE","45 to 64",387,290,72.8,74.9,225,56.5,58.2,"2018"
"186","NEW HAMPSHIRE","65+",210,168,78.9,80.1,146,68.7,69.7,"2018"
"187","NEW JERSEY","Total",5909,3919,57.5,66.3,2151,31.5,36.4,"2018"
"188","NEW JERSEY","18 to 24",698,328,42.5,47,100,12.9,14.3,"2018"
"189","NEW JERSEY","25 to 34",877,485,42.6,55.3,160,14,18.3,"2018"
"190","NEW JERSEY","35 to 44",860,591,52.5,68.7,263,23.4,30.5,"2018"
"191","NEW JERSEY","45 to 64",2181,1576,65,72.3,963,39.7,44.2,"2018"
"192","NEW JERSEY","65+",1292,940,69.2,72.7,666,49,51.5,"2018"
"193","NEW MEXICO","Total",1417,919,59.9,64.9,646,42.1,45.6,"2018"
"194","NEW MEXICO","18 to 24",184,50,25.7,27.3,23,11.6,12.3,"2018"
"195","NEW MEXICO","25 to 34",243,125,46.9,51.6,63,23.7,26.1,"2018"
"196","NEW MEXICO","35 to 44",195,136,59,69.4,80,34.7,40.8,"2018"
"197","NEW MEXICO","45 to 64",470,350,69.4,74.4,264,52.4,56.2,"2018"
"198","NEW MEXICO","65+",323,258,76.4,79.8,216,63.8,66.7,"2018"
"199","NEW YORK","Total",13611,8078,52.9,59.4,4680,30.6,34.4,"2018"
"200","NEW YORK","18 to 24",1738,733,37.4,42.2,258,13.2,14.9,"2018"
"201","NEW YORK","25 to 34",2444,1213,42.1,49.6,509,17.7,20.8,"2018"
"202","NEW YORK","35 to 44",1946,1195,51.7,61.4,602,26.1,30.9,"2018"
"203","NEW YORK","45 to 64",4653,2948,57.2,63.3,1899,36.9,40.8,"2018"
"204","NEW YORK","65+",2830,1989,66.9,70.3,1411,47.5,49.9,"2018"
"205","NORTH CAROLINA","Total",6857,4779,64.5,69.7,3170,42.8,46.2,"2018"
"206","NORTH CAROLINA","18 to 24",1008,451,41.3,44.7,235,21.6,23.4,"2018"
"207","NORTH CAROLINA","25 to 34",1037,669,55.8,64.5,347,28.9,33.5,"2018"
"208","NORTH CAROLINA","35 to 44",937,657,60.2,70.2,404,37.1,43.2,"2018"
"209","NORTH CAROLINA","45 to 64",2452,1869,72.4,76.2,1262,48.9,51.5,"2018"
"210","NORTH CAROLINA","65+",1424,1132,78.2,79.5,921,63.6,64.7,"2018"
"211","NORTH DAKOTA","Total",547,363,64.1,66.4,279,49.2,51,"2018"
"212","NORTH DAKOTA","18 to 24",77,36,43.5,46.4,21,25.1,26.7,"2018"
"213","NORTH DAKOTA","25 to 34",114,68,56.2,59.4,45,37.2,39.4,"2018"
"214","NORTH DAKOTA","35 to 44",76,48,60.7,63,32,41.2,42.8,"2018"
"215","NORTH DAKOTA","45 to 64",180,128,69.5,71.3,106,57.4,59,"2018"
"216","NORTH DAKOTA","65+",100,84,82.9,83.5,75,74.3,74.8,"2018"
"217","OHIO","Total",8509,5657,64.5,66.5,3378,38.5,39.7,"2018"
"218","OHIO","18 to 24",968,421,42.8,43.5,122,12.4,12.6,"2018"
"219","OHIO","25 to 34",1408,882,59.2,62.6,404,27.1,28.7,"2018"
"220","OHIO","35 to 44",1312,930,67.3,70.9,501,36.2,38.2,"2018"
"221","OHIO","45 to 64",2955,2043,67.4,69.1,1293,42.6,43.7,"2018"
"222","OHIO","65+",1867,1381,73.3,74,1059,56.2,56.7,"2018"
"223","OKLAHOMA","Total",2690,1644,57.7,61.1,920,32.3,34.2,"2018"
"224","OKLAHOMA","18 to 24",352,119,31.1,33.8,42,10.9,11.8,"2018"
"225","OKLAHOMA","25 to 34",501,286,53.3,57.1,104,19.5,20.9,"2018"
"226","OKLAHOMA","35 to 44",362,218,52.1,60.3,108,25.7,29.7,"2018"
"227","OKLAHOMA","45 to 64",917,603,63.8,65.8,366,38.7,39.9,"2018"
"228","OKLAHOMA","65+",558,418,73.5,74.8,300,52.9,53.8,"2018"
"229","OREGON","Total",2870,2008,65.2,70,1594,51.8,55.5,"2018"
"230","OREGON","18 to 24",358,149,39.1,41.6,89,23.4,24.9,"2018"
"231","OREGON","25 to 34",483,333,62.7,69,242,45.6,50.2,"2018"
"232","OREGON","35 to 44",436,311,62.6,71.4,237,47.8,54.4,"2018"
"233","OREGON","45 to 64",994,757,71,76.2,615,57.6,61.8,"2018"
"234","OREGON","65+",599,457,75.8,76.3,410,68,68.5,"2018"
"235","PENNSYLVANIA","Total",9511,6121,61.7,64.4,3803,38.3,40,"2018"
"236","PENNSYLVANIA","18 to 24",1062,404,36.1,38,116,10.4,10.9,"2018"
"237","PENNSYLVANIA","25 to 34",1511,852,51.1,56.4,424,25.4,28,"2018"
"238","PENNSYLVANIA","35 to 44",1385,972,65.5,70.1,509,34.3,36.8,"2018"
"239","PENNSYLVANIA","45 to 64",3525,2398,66.5,68,1633,45.3,46.3,"2018"
"240","PENNSYLVANIA","65+",2027,1496,73.1,73.8,1121,54.8,55.3,"2018"
"241","RHODE ISLAND","Total",765,486,59.4,63.6,331,40.4,43.3,"2018"
"242","RHODE ISLAND","18 to 24",103,44,41.1,43.3,14,13,13.7,"2018"
"243","RHODE ISLAND","25 to 34",119,61,46.4,51.7,25,18.8,21,"2018"
"244","RHODE ISLAND","35 to 44",109,67,54.9,61.8,45,37.1,41.7,"2018"
"245","RHODE ISLAND","45 to 64",273,197,68.1,71.9,157,54.4,57.4,"2018"
"246","RHODE ISLAND","65+",161,117,69.7,72.2,90,53.7,55.7,"2018"
"247","SOUTH CAROLINA","Total",3569,2458,67,68.9,1514,41.3,42.4,"2018"
"248","SOUTH CAROLINA","18 to 24",457,209,45.2,45.7,89,19.3,19.5,"2018"
"249","SOUTH CAROLINA","25 to 34",590,386,62.5,65.4,156,25.2,26.4,"2018"
"250","SOUTH CAROLINA","35 to 44",543,379,66.1,69.8,204,35.6,37.6,"2018"
"251","SOUTH CAROLINA","45 to 64",1267,949,73.3,74.9,688,53.2,54.3,"2018"
"252","SOUTH CAROLINA","65+",712,535,74.3,75.1,376,52.2,52.8,"2018"
"253","SOUTH DAKOTA","Total",618,401,64.2,64.9,273,43.7,44.1,"2018"
"254","SOUTH DAKOTA","18 to 24",67,24,NA,NA,8,NA,NA,"2018"
"255","SOUTH DAKOTA","25 to 34",122,67,53.7,55.3,32,25.2,26,"2018"
"256","SOUTH DAKOTA","35 to 44",85,62,71.7,72.6,42,48.1,48.7,"2018"
"257","SOUTH DAKOTA","45 to 64",233,161,68.8,68.9,124,52.9,53,"2018"
"258","SOUTH DAKOTA","65+",111,87,78.8,78.8,68,61.4,61.4,"2018"
"259","TENNESSEE","Total",4815,3088,62.1,64.1,1763,35.4,36.6,"2018"
"260","TENNESSEE","18 to 24",652,272,41.1,41.7,78,11.8,11.9,"2018"
"261","TENNESSEE","25 to 34",741,387,48.2,52.2,137,17.1,18.5,"2018"
"262","TENNESSEE","35 to 44",772,515,63.1,66.7,300,36.7,38.8,"2018"
"263","TENNESSEE","45 to 64",1714,1184,67.7,69.1,747,42.7,43.6,"2018"
"264","TENNESSEE","65+",935,730,77.3,78.1,502,53.1,53.7,"2018"
"265","TEXAS","Total",16844,9946,51.4,59.1,5836,30.2,34.6,"2018"
"266","TEXAS","18 to 24",2371,864,33.1,36.4,287,11,12.1,"2018"
"267","TEXAS","25 to 34",3137,1551,40.6,49.4,687,18,21.9,"2018"
"268","TEXAS","35 to 44",2816,1646,46.3,58.4,835,23.5,29.7,"2018"
"269","TEXAS","45 to 64",5681,3801,59.2,66.9,2478,38.6,43.6,"2018"
"270","TEXAS","65+",2839,2085,70.6,73.4,1548,52.4,54.5,"2018"
"271","UTAH","Total",1924,1101,54.3,57.2,703,34.7,36.5,"2018"
"272","UTAH","18 to 24",250,74,28.7,29.8,35,13.4,13.9,"2018"
"273","UTAH","25 to 34",428,195,42.7,45.6,99,21.8,23.3,"2018"
"274","UTAH","35 to 44",410,242,55.6,59.2,121,27.7,29.5,"2018"
"275","UTAH","45 to 64",558,374,63.5,67,258,43.9,46.3,"2018"
"276","UTAH","65+",279,215,75.3,77.3,189,66.1,67.9,"2018"
"277","VERMONT","Total",482,324,65.7,67.2,205,41.6,42.5,"2018"
"278","VERMONT","18 to 24",55,19,NA,NA,6,NA,NA,"2018"
"279","VERMONT","25 to 34",72,30,NA,NA,12,NA,NA,"2018"
"280","VERMONT","35 to 44",72,49,NA,NA,28,NA,NA,"2018"
"281","VERMONT","45 to 64",179,140,75.7,78.1,93,50.7,52.3,"2018"
"282","VERMONT","65+",105,86,81,82,65,61.5,62.2,"2018"
"283","VIRGINIA","Total",5888,3924,63.1,66.6,2453,39.4,41.7,"2018"
"284","VIRGINIA","18 to 24",681,315,43.2,46.2,112,15.4,16.5,"2018"
"285","VIRGINIA","25 to 34",973,606,56.3,62.3,258,24,26.6,"2018"
"286","VIRGINIA","35 to 44",989,697,63.8,70.5,403,36.9,40.8,"2018"
"287","VIRGINIA","45 to 64",2086,1449,67.1,69.4,1017,47.1,48.7,"2018"
"288","VIRGINIA","65+",1159,858,73.7,74,662,56.8,57.1,"2018"
"289","WASHINGTON","Total",4776,3281,61.5,68.7,2390,44.8,50,"2018"
"290","WASHINGTON","18 to 24",522,237,40,45.4,127,21.4,24.3,"2018"
"291","WASHINGTON","25 to 34",840,458,45.4,54.5,247,24.5,29.4,"2018"
"292","WASHINGTON","35 to 44",773,565,62.3,73.2,345,38,44.6,"2018"
"293","WASHINGTON","45 to 64",1655,1242,69.1,75,981,54.6,59.3,"2018"
"294","WASHINGTON","65+",986,779,75.7,79,690,67.1,70,"2018"
"295","WEST VIRGINIA","Total",1440,896,61.8,62.2,484,33.4,33.6,"2018"
"296","WEST VIRGINIA","18 to 24",183,85,46.2,46.6,26,14.3,14.4,"2018"
"297","WEST VIRGINIA","25 to 34",204,120,58,58.8,41,19.8,20,"2018"
"298","WEST VIRGINIA","35 to 44",212,125,57.8,58.8,63,29.1,29.5,"2018"
"299","WEST VIRGINIA","45 to 64",504,316,62.6,62.7,189,37.4,37.4,"2018"
"300","WEST VIRGINIA","65+",338,250,74.1,74.1,165,49,49,"2018"
"301","WISCONSIN","Total",4232,3005,69,71,2343,53.8,55.4,"2018"
"302","WISCONSIN","18 to 24",470,223,45.6,47.4,131,26.9,27.9,"2018"
"303","WISCONSIN","25 to 34",724,415,54.9,57.3,287,38,39.6,"2018"
"304","WISCONSIN","35 to 44",639,456,69,71.4,336,50.8,52.6,"2018"
"305","WISCONSIN","45 to 64",1604,1282,77.4,79.9,1041,62.9,64.9,"2018"
"306","WISCONSIN","65+",794,629,79.1,79.2,548,68.9,68.9,"2018"
"307","WYOMING","Total",427,241,54.7,56.5,172,39.1,40.3,"2018"
"308","WYOMING","18 to 24",51,14,NA,NA,7,NA,NA,"2018"
"309","WYOMING","25 to 34",75,39,48.5,51.6,21,26.7,28.4,"2018"
"310","WYOMING","35 to 44",70,36,NA,NA,21,NA,NA,"2018"
"311","WYOMING","45 to 64",151,95,62.5,63.1,75,49,49.5,"2018"
"312","WYOMING","65+",80,57,68.9,71.1,48,58.3,60.1,"2018"
